Ticker,Company,Date,Time,Quarter Ending,Market Cap
GOOGL,Alphabet Inc.,04-Feb-26,After Hours,Dec-25,4.08151E+12
LLY,Eli Lilly and Company,04-Feb-26,Pre Market,Dec-25,9.28644E+11
ABBV,AbbVie Inc.,04-Feb-26,Pre Market,Dec-25,3.94144E+11
NOVN,Novartis AG,04-Feb-26,Pre Market,Dec-25,2.84517E+11
NOVO B,Novo Nordisk A/S,04-Feb-26,Pre Market,Dec-25,2.6135E+11
8306,"Mitsubishi UFJ Financial Group, Inc.",04-Feb-26,,Dec-25,2.06552E+11
UBER,"Uber Technologies, Inc.",04-Feb-26,Pre Market,Dec-25,1.6633E+11
QCOM,QUALCOMM Incorporated,04-Feb-26,After Hours,Dec-25,1.61905E+11
UBSG,UBS Group AG,04-Feb-26,,Dec-25,1.49193E+11
BSX,Boston Scientific Corporation,04-Feb-26,Pre Market,Dec-25,1.38707E+11
ARM,Arm Holdings plc,04-Feb-26,After Hours,Dec-25,1.11787E+11
CME,CME Group Inc.,04-Feb-26,Pre Market,Dec-25,1.04235E+11
GSK,GSK plc,04-Feb-26,Pre Market,Dec-25,1.03526E+11
MCK,McKesson Corporation,04-Feb-26,After Hours,Dec-25,1.02593E+11
ITUB4,Itaú Unibanco Holding S.A.,04-Feb-26,,Dec-25,91584130000
2454,MediaTek Inc.,04-Feb-26,,Dec-25,89081890000
ORLY,"O'Reilly Automotive, Inc.",04-Feb-26,After Hours,Dec-25,83068280000
BAM,Brookfield Asset Management Ltd.,04-Feb-26,,Dec-25,80111550000
JCI,Johnson Controls International plc,04-Feb-26,Pre Market,Dec-25,72995020000
COR,"Cencora, Inc.",04-Feb-26,Pre Market,Dec-25,69877660000
EQNR,Equinor ASA,04-Feb-26,Pre Market,Dec-25,66562760000
DSV,DSV A/S,04-Feb-26,,Dec-25,66477220000
ACA,Crédit Agricole S.A.,04-Feb-26,,Dec-25,65863420000
IFX,Infineon Technologies AG,04-Feb-26,,Dec-25,64543330000
AFL,Aflac Incorporated,04-Feb-26,After Hours,Dec-25,58150440000
PSX,Phillips 66,04-Feb-26,Pre Market,Dec-25,57843360000
ALL,The Allstate Corporation,04-Feb-26,,Dec-25,52072040000
MET,"MetLife, Inc.",04-Feb-26,After Hours,Dec-25,51973370000
YUM,"Yum! Brands, Inc.",04-Feb-26,Pre Market,Dec-25,43175010000
DNB,DNB Bank ASA,04-Feb-26,,Dec-25,40905530000
CTSH,Cognizant Technology Solutions Corporation,04-Feb-26,Pre Market,Dec-25,40899460000
CCI,Crown Castle Inc.,04-Feb-26,After Hours,Dec-25,39571980000
GEHC,GE HealthCare Technologies Inc.,04-Feb-26,Pre Market,Dec-25,37238890000
6367,"Daikin Industries,Ltd.",04-Feb-26,,Dec-25,37094490000
ODFL,"Old Dominion Freight Line, Inc.",04-Feb-26,Pre Market,Dec-25,36728140000
FOX,"Fox Entertainment Group, LLC",04-Feb-26,,Dec-25,35421590000
BAJAJFINSV,Bajaj Finserv Ltd.,04-Feb-26,,Dec-25,35222410000
6752,Panasonic Holdings Corporation,04-Feb-26,,Dec-25,33089830000
NTDT.Y,NTT DATA Group Corporation,04-Feb-26,,Dec-25,32257240000
SHB A,Svenska Handelsbanken AB (publ),04-Feb-26,,Dec-25,30692720000
A042660,"Hanwha Ocean Co., Ltd.",04-Feb-26,,Dec-25,30591020000
FOXA,Fox Corporation,04-Feb-26,Pre Market,Dec-25,30411670000
BPE,BPER Banca SpA,04-Feb-26,,Dec-25,27669030000
EFX,Equifax Inc.,04-Feb-26,,Dec-25,26874060000
STE,STERIS plc,04-Feb-26,After Hours,Dec-25,26367190000
MKL,Markel Group Inc.,04-Feb-26,After Hours,Dec-25,25970940000
AVB,"AvalonBay Communities, Inc.",04-Feb-26,After Hours,Dec-25,25798580000
4503,Astellas Pharma Inc.,04-Feb-26,,Dec-25,25426930000
FLEX,Flex Ltd.,04-Feb-26,Pre Market,Dec-25,23973510000
TROW,"T. Rowe Price Group, Inc.",04-Feb-26,Pre Market,Dec-25,23240060000
RI,Pernod Ricard SA,04-Feb-26,,Dec-25,21863270000
PTC,PTC Inc.,04-Feb-26,After Hours,Dec-25,20586190000
CPAY,"Corpay, Inc.",04-Feb-26,After Hours,Dec-25,20360250000
SANB11,Banco Santander (Brasil) S.A.,04-Feb-26,,Dec-25,20120440000
500251,Trent Limited,04-Feb-26,,Dec-25,18671490000
BG,Bunge Global SA,04-Feb-26,Pre Market,Dec-25,18620670000
COHR,Coherent Corp.,04-Feb-26,After Hours,Dec-25,17696390000
OMV,OMV Aktiengesellschaft,04-Feb-26,,Dec-25,17542460000
4689,LY Corporation,04-Feb-26,,Dec-25,17495170000
WRT1V,Wärtsilä Oyj Abp,04-Feb-26,,Dec-25,17269570000
