Ticker,Company,Date,Time,Quarter Ending,Market Cap
A008770,"Hotel Shilla Co.,Ltd",22-Jan-26,,25-Dec,"1,179,260,000"
OCFC,OceanFirst Financial Corp.,22-Jan-26,After Hours,25-Dec,"1,155,740,000"
UJJIVANSFB,Ujjivan Small Finance Bank Limited,22-Jan-26,,25-Dec,"1,142,850,000"
CRED A,Creades AB,22-Jan-26,,25-Dec,"1,050,750,000"
ZEEL,Zee Entertainment Enterprises Limited,22-Jan-26,,25-Dec,"1,006,150,000"
AMAL,Amalgamated Financial Corp.,22-Jan-26,Pre Market,25-Dec,"957,660,000"
FMBH,"First Mid Bancshares, Inc.",22-Jan-26,,25-Dec,"941,900,000"
506767,Alkyl Amines Chemicals Limited,22-Jan-26,,25-Dec,"896,150,000"
531431,Shakti Pumps (India) Limited,22-Jan-26,,25-Dec,"891,800,000"
ESQ,"Esquire Financial Holdings, Inc.",22-Jan-26,,25-Dec,"870,300,000"
HFWA,Heritage Financial Corporation,22-Jan-26,Pre Market,25-Dec,"861,480,000"
SHARDACROP,Sharda Cropchem Limited,22-Jan-26,,25-Dec,"850,080,000"
MOFG,"MidWestOne Financial Group, Inc.",22-Jan-26,,25-Dec,"848,630,000"
AMTB,Amerant Bancorp Inc.,22-Jan-26,After Hours,25-Dec,"844,380,000"
BFST,"Business First Bancshares, Inc.",22-Jan-26,After Hours,25-Dec,"820,640,000"
TANLA,Tanla Platforms Limited,22-Jan-26,,25-Dec,"818,720,000"
HTB,"HomeTrust Bancshares, Inc.",22-Jan-26,,25-Dec,"790,570,000"
FMCB,Farmers & Merchants Bancorp,22-Jan-26,,25-Dec,"790,540,000"
HTBK,Heritage Commerce Corp,22-Jan-26,,25-Dec,"737,850,000"
IBCP,Independent Bank Corporation,22-Jan-26,Pre Market,25-Dec,"721,320,000"
NIITMTS,NIIT Learning Systems Limited,22-Jan-26,,25-Dec,"614,940,000"
DCBBANK,DCB Bank Limited,22-Jan-26,,25-Dec,"612,980,000"
CASS,"Cass Information Systems, Inc.",22-Jan-26,,25-Dec,"584,870,000"
LYTS,LSI Industries Inc.,22-Jan-26,Pre Market,25-Dec,"566,020,000"
A009450,"Kyung Dong Navien Co., Ltd.",22-Jan-26,,25-Dec,"563,630,000"
BHB,Bar Harbor Bankshares,22-Jan-26,,25-Dec,"549,050,000"
ORES,Investment AB Öresund (publ),22-Jan-26,,25-Dec,"536,630,000"
ACNB,ACNB Corporation,22-Jan-26,,25-Dec,"536,480,000"
