Ticker,Company,Date,Time,Quarter Ending,Market Cap
WMT,Walmart Inc.,19-Feb-26,Pre Market,Jan-26,1.06713E+12
BABA,Alibaba Group Holding Limited,19-Feb-26,,Dec-25,3.48128E+11
AIR,Airbus SE,19-Feb-26,,Dec-25,1.80309E+11
RIO,Rio Tinto Group,19-Feb-26,,Dec-25,1.67674E+11
DE,Deere & Company,19-Feb-26,,Feb-26,1.63436E+11
NEM,Newmont Corporation,19-Feb-26,After Hours,Dec-25,1.36937E+11
SO,The Southern Company,19-Feb-26,,Dec-25,1.0455E+11
ZURN,Zurich Insurance Group AG,19-Feb-26,,Dec-25,1.01966E+11
NU,Nu Holdings Ltd.,19-Feb-26,,Dec-25,81502580000
PWR,"Quanta Services, Inc.",19-Feb-26,Pre Market,Dec-25,78148650000
GFI,Gold Fields Limited,19-Feb-26,,Dec-25,48494980000
TRGP,Targa Resources Corp.,19-Feb-26,,Dec-25,48059910000
FIX,"Comfort Systems USA, Inc.",19-Feb-26,After Hours,Dec-25,43296480000
CPRT,"Copart, Inc.",19-Feb-26,After Hours,Jan-26,39069190000
CVE,Cenovus Energy Inc.,19-Feb-26,,Dec-25,38828820000
FFH,Fairfax Financial Holdings Limited,19-Feb-26,,Dec-25,37602270000
LYV,"Live Nation Entertainment, Inc.",19-Feb-26,After Hours,Dec-25,32704350000
HOT,HOCHTIEF Aktiengesellschaft,19-Feb-26,,Dec-25,32519600000
INSM,Insmed Incorporated,19-Feb-26,Pre Market,Dec-25,31961160000
PKN,Orlen S.A.,19-Feb-26,,Dec-25,31791730000
EXR,Extra Space Storage Inc.,19-Feb-26,,Dec-25,31597300000
CNP,"CenterPoint Energy, Inc.",19-Feb-26,Pre Market,Dec-25,25925400000
TECK.B,Teck Resources Limited,19-Feb-26,,Dec-25,24724840000
RI,Pernod Ricard SA,19-Feb-26,,Dec-25,21863270000
BXB,Brambles Limited,19-Feb-26,,Dec-25,21296470000
REP,"Repsol, S.A.",19-Feb-26,,Dec-25,20593570000
NUTRESA,Grupo Nutresa S. A.,19-Feb-26,,Dec-25,20534980000
EVRG,"Evergy, Inc.",19-Feb-26,Pre Market,Dec-25,17634500000
LNT,Alliant Energy Corporation,19-Feb-26,After Hours,Dec-25,17171180000
FNF,"Fidelity National Financial, Inc.",19-Feb-26,After Hours,Dec-25,15860670000
LUG,Lundin Gold Inc.,19-Feb-26,,Dec-25,15791300000
FTI,TechnipFMC plc,19-Feb-26,Pre Market,Dec-25,15635070000
KBX,Knorr-Bremse AG,19-Feb-26,,Dec-25,15523660000
KLAR,Klarna Group plc,19-Feb-26,,Dec-25,15350510000
2020,SABIC Agri-Nutrients Company,19-Feb-26,,Dec-25,14799550000
ULS,UL Solutions Inc.,19-Feb-26,Pre Market,Dec-25,14505750000
7020,Etihad Etisalat Company,19-Feb-26,,Dec-25,13909480000
GLPI,"Gaming and Leisure Properties, Inc.",19-Feb-26,After Hours,Dec-25,13264600000
LUN,Lundin Mining Corporation,19-Feb-26,,Dec-25,12991490000
500002,ABB India Limited,19-Feb-26,,Dec-25,12369810000
AMH,American Homes 4 Rent,19-Feb-26,After Hours,Dec-25,12106510000
BESI,BE Semiconductor Industries N.V.,19-Feb-26,,Dec-25,12099470000
AC,Accor SA,19-Feb-26,,Dec-25,11733290000
DTM,"DT Midstream, Inc.",19-Feb-26,Pre Market,Dec-25,11631330000
POOL,Pool Corporation,19-Feb-26,Pre Market,Dec-25,11554030000
W,Wayfair Inc.,19-Feb-26,Pre Market,Dec-25,11478880000
RNO,Renault SA,19-Feb-26,,Dec-25,11342720000
AKAM,"Akamai Technologies, Inc.",19-Feb-26,After Hours,Dec-25,11120980000
TXRH,"Texas Roadhouse, Inc.",19-Feb-26,After Hours,Dec-25,11063360000
LI,Klépierre SA,19-Feb-26,,Dec-25,10940850000
CNA,Centrica plc,19-Feb-26,,Dec-25,10663160000
SFM,"Sprouts Farmers Market, Inc.",19-Feb-26,After Hours,Dec-25,10352130000
MDGL,"Madrigal Pharmaceuticals, Inc.",19-Feb-26,Pre Market,Dec-25,9874260000
FYBR,"Frontier Communications Parent, Inc.",19-Feb-26,,Dec-25,9366750000
NICE,NICE Ltd.,19-Feb-26,,Dec-25,9071460000
ONTO,Onto Innovation Inc.,19-Feb-26,After Hours,Dec-25,8847160000
EPAM,"EPAM Systems, Inc.",19-Feb-26,Pre Market,Dec-25,8584010000
AG,First Majestic Silver Corp.,19-Feb-26,,Dec-25,8404340000
LKQ,LKQ Corporation,19-Feb-26,Pre Market,Dec-25,8068710000
DBX,"Dropbox, Inc.",19-Feb-26,After Hours,Dec-25,7936610000
FND,"Floor & Decor Holdings, Inc.",19-Feb-26,After Hours,Dec-25,7932550000
GH,"Guardant Health, Inc.",19-Feb-26,After Hours,Dec-25,7836520000
GTT,Gaztransport & Technigaz SA,19-Feb-26,,Dec-25,7673530000
ELD,Eldorado Gold Corporation,19-Feb-26,After Hours,Dec-25,7340290000
OPEN,Opendoor Technologies Inc.,19-Feb-26,,Dec-25,7241560000
KIO,Kumba Iron Ore Limited,19-Feb-26,,Dec-25,7082700000
ESAB,ESAB Corporation,19-Feb-26,,Dec-25,6958080000
PRAX,"Praxis Precision Medicines, Inc.",19-Feb-26,Pre Market,Dec-25,6924990000
IDA,"IDACORP, Inc.",19-Feb-26,Pre Market,Dec-25,6803750000
NEX,Nexans S.A.,19-Feb-26,,Dec-25,6697160000
CWST,"Casella Waste Systems, Inc.",19-Feb-26,After Hours,Dec-25,6356970000
PTCT,"PTC Therapeutics, Inc.",19-Feb-26,After Hours,Dec-25,6162930000
GATX,GATX Corporation,19-Feb-26,Pre Market,Dec-25,6159230000
5101,"The Yokohama Rubber Company, Limited",19-Feb-26,,Dec-25,6060350000
GRUMA B,"Gruma, S.A.B. de C.V.",19-Feb-26,,Dec-25,5987440000
IRTC,"iRhythm Holdings, Inc.",19-Feb-26,,Dec-25,5940890000
OLED,Universal Display Corporation,19-Feb-26,After Hours,Dec-25,5857680000
ETSY,"Etsy, Inc.",19-Feb-26,Pre Market,Dec-25,5780220000
LMND,"Lemonade, Inc.",19-Feb-26,Pre Market,Dec-25,5743080000
ZEAL,Zealand Pharma A/S,19-Feb-26,,Dec-25,5412110000
FDJU,FDJ United,19-Feb-26,,Dec-25,5290470000
ST,Sensata Technologies Holding plc,19-Feb-26,After Hours,Dec-25,5264830000
WK,Workiva Inc.,19-Feb-26,After Hours,Dec-25,5224400000
HHH,Howard Hughes Holdings Inc.,19-Feb-26,After Hours,Dec-25,5185270000
MNDI,Mondi plc,19-Feb-26,,Dec-25,5087320000
QUB,Qube Holdings Limited,19-Feb-26,,Dec-25,5049660000
CHH,"Choice Hotels International, Inc.",19-Feb-26,Pre Market,Dec-25,4787050000
KRN,Krones AG,19-Feb-26,,Dec-25,4771430000
RIG,Transocean Ltd.,19-Feb-26,After Hours,Dec-25,4736200000
FG,"F&G Annuities & Life, Inc.",19-Feb-26,After Hours,Dec-25,4571680000
VICR,Vicor Corporation,19-Feb-26,After Hours,Dec-25,4502320000
RMS,Ramelius Resources Limited,19-Feb-26,,Dec-25,4474100000
PRU,Perseus Mining Limited,19-Feb-26,,Dec-25,4408900000
LAUR,"Laureate Education, Inc.",19-Feb-26,Pre Market,Dec-25,4345740000
GRUPOAVAL,Grupo Aval Acciones y Valores S.A.,19-Feb-26,,Dec-25,4022200000
VAL,Valaris Limited,19-Feb-26,After Hours,Dec-25,4010430000
WSC,WillScot Holdings Corporation,19-Feb-26,After Hours,Dec-25,3924570000
BRC,Brady Corporation,19-Feb-26,Pre Market,Jan-26,3743000000
GRAL,"GRAIL, Inc.",19-Feb-26,After Hours,Dec-25,3700390000
ICUI,"ICU Medical, Inc.",19-Feb-26,After Hours,Dec-25,3643500000
ARCAD,Arcadis NV,19-Feb-26,,Dec-25,3630650000
CARG,"CarGurus, Inc.",19-Feb-26,After Hours,Dec-25,3543220000
COLD,"Americold Realty Trust, Inc.",19-Feb-26,Pre Market,Dec-25,3540740000
YETI,"YETI Holdings, Inc.",19-Feb-26,Pre Market,Dec-25,3520040000
CMBN,Cembra Money Bank AG,19-Feb-26,,Dec-25,3412000000
GTX,Garrett Motion Inc.,19-Feb-26,Pre Market,Dec-25,3249800000
VGP,VGP NV,19-Feb-26,,Dec-25,3162690000
TLX,Telix Pharmaceuticals Limited,19-Feb-26,After Hours,Dec-25,3151330000
SORIANA B,"Organización Soriana, S. A. B. de C. V.",19-Feb-26,,Dec-25,3106570000
AF,Air France-KLM SA,19-Feb-26,,Dec-25,3095480000
TVTX,"Travere Therapeutics, Inc.",19-Feb-26,After Hours,Dec-25,3076060000
ASMDEE B,Asmodee Group AB (publ),19-Feb-26,,Dec-25,3056210000
MMB,Lagardere SA,19-Feb-26,,Dec-25,3032260000
APPN,Appian Corporation,19-Feb-26,Pre Market,Dec-25,3023060000
TKO,Tikehau Capital,19-Feb-26,,Dec-25,3002490000
S59,SIA Engineering Company Limited,19-Feb-26,,Dec-25,2973400000
MPT,"Medical Properties Trust, Inc.",19-Feb-26,Pre Market,Dec-25,2963600000
CENX,Century Aluminum Company,19-Feb-26,After Hours,Dec-25,2945870000
DSV,Discovery Silver Corp.,19-Feb-26,,Dec-25,2907700000
VC,Visteon Corporation,19-Feb-26,Pre Market,Dec-25,2822050000
HG,"Hamilton Insurance Group, Ltd.",19-Feb-26,After Hours,Dec-25,2767890000
RNG,"RingCentral, Inc.",19-Feb-26,After Hours,Dec-25,2689570000
COFA,COFACE SA,19-Feb-26,,Dec-25,2607350000
ALRM,"Alarm.com Holdings, Inc.",19-Feb-26,After Hours,Dec-25,2601720000
AZE,Azelis Group NV,19-Feb-26,,Dec-25,2598890000
ITGR,Integer Holdings Corporation,19-Feb-26,Pre Market,Dec-25,2547990000
NVG,"The Navigator Company, S.A.",19-Feb-26,,Dec-25,2521360000
VESTA *,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",19-Feb-26,,Dec-25,2500060000
BAMNB,Koninklijke BAM Groep nv,19-Feb-26,,Dec-25,2494770000
MEGA CPO,"Megacable Holdings, S. A. B. de C. V.",19-Feb-26,,Dec-25,2451040000
FUN,Six Flags Entertainment Corporation,19-Feb-26,Pre Market,Dec-25,2419560000
CC,The Chemours Company,19-Feb-26,,Dec-25,2414630000
CG,Centerra Gold Inc.,19-Feb-26,After Hours,Dec-25,2345090000
DOFG,DOF Group ASA,19-Feb-26,,Dec-25,2284800000
BEI.UN,Boardwalk Real Estate Investment Trust,19-Feb-26,,Dec-25,2238420000
NK,Imerys S.A.,19-Feb-26,,Dec-25,2187630000
SII,Sprott Inc.,19-Feb-26,Pre Market,Dec-25,2099410000
PK,Park Hotels & Resorts Inc.,19-Feb-26,After Hours,Dec-25,2096930000
GIMB,Gimv NV,19-Feb-26,,Sep-25,1998640000
AIF,Altus Group Limited,19-Feb-26,,Dec-25,1931990000
AGM,Federal Agricultural Mortgage Corporation,19-Feb-26,After Hours,Dec-25,1902390000
BURE,Bure Equity AB (publ),19-Feb-26,,Dec-25,1885440000
SEM,Select Medical Holdings Corporation,19-Feb-26,After Hours,Dec-25,1875840000
BRSAN,Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret A.S.,19-Feb-26,,Dec-25,1852900000
PRDO,Perdoceo Education Corporation,19-Feb-26,After Hours,Dec-25,1851840000
XPRO,Expro Group Holdings N.V.,19-Feb-26,Pre Market,Dec-25,1843710000
A004370,"Nongshim Co., Ltd.",19-Feb-26,,Dec-25,1828490000
MD,"Pediatrix Medical Group, Inc.",19-Feb-26,Pre Market,Dec-25,1813260000
LZ,"LegalZoom.com, Inc.",19-Feb-26,After Hours,Dec-25,1785110000
JDAN,Jeudan A/S,19-Feb-26,,Dec-25,1742120000
NMM,Navios Maritime Partners L.P.,19-Feb-26,,Dec-25,1684720000
SVV,"Savers Value Village, Inc.",19-Feb-26,After Hours,Dec-25,1641950000
FIVN,"Five9, Inc.",19-Feb-26,After Hours,Dec-25,1487670000
ARDX,"Ardelyx, Inc.",19-Feb-26,After Hours,Dec-25,1479710000
TNDM,"Tandem Diabetes Care, Inc.",19-Feb-26,After Hours,Dec-25,1450290000
NABL,"N-able, Inc.",19-Feb-26,Pre Market,Dec-25,1419830000
WKC,World Kinect Corporation,19-Feb-26,After Hours,Dec-25,1412300000
SIA,Sienna Senior Living Inc.,19-Feb-26,,Dec-25,1370140000
