Ticker,Company,Date,Time,Quarter Ending, Market Cap 
3231,"Nomura Real Estate Holdings, Inc.",28-Jan-26,,25-Dec,"5,069,760,000"
EAT,"Brinker International, Inc.",28-Jan-26,Pre Market,25-Dec,"5,052,270,000"
ME8U,Mapletree Industrial Trust,28-Jan-26,,25-Dec,"4,780,890,000"
MTH,Meritage Homes Corporation,28-Jan-26,After Hours,25-Dec,"4,774,980,000"
A034220,"LG Display Co., Ltd.",28-Jan-26,Pre Market,25-Dec,"4,631,210,000"
WHR,Whirlpool Corporation,28-Jan-26,After Hours,25-Dec,"4,474,350,000"
4190,Jarir Marketing Company,28-Jan-26,,25-Dec,"4,428,210,000"
8060,Canon Marketing Japan Inc.,28-Jan-26,,25-Dec,"4,395,270,000"
PLXS,Plexus Corp.,28-Jan-26,After Hours,25-Dec,"4,387,260,000"
MPHC,Mesaieed Petrochemical Holding Company Q.P.S.C.,28-Jan-26,,25-Dec,"4,375,800,000"
MUR,Murphy Oil Corporation,28-Jan-26,After Hours,25-Dec,"4,346,180,000"
AVT,"Avnet, Inc.",28-Jan-26,Pre Market,25-Dec,"4,328,380,000"
PROT,Protector Forsikring ASA,28-Jan-26,,25-Dec,"4,046,090,000"
VIAV,Viavi Solutions Inc.,28-Jan-26,After Hours,25-Dec,"4,017,580,000"
Q *,"Quálitas Controladora, S.A.B. de C.V.",28-Jan-26,,25-Dec,"3,868,510,000"
DFM,Dubai Financial Market P.J.S.C.,28-Jan-26,,25-Dec,"3,765,940,000"
ACC,ACC Limited,28-Jan-26,,25-Dec,"3,722,980,000"
CALX,"Calix, Inc.",28-Jan-26,,25-Dec,"3,712,810,000"
AJANTPHARM,Ajanta Pharma Limited,28-Jan-26,,25-Dec,"3,687,490,000"
FIBK,"First Interstate BancSystem, Inc.",28-Jan-26,After Hours,25-Dec,"3,665,480,000"
MHO,"M/I Homes, Inc.",28-Jan-26,Pre Market,25-Dec,"3,521,160,000"
ATGE,Adtalem Global Education Inc.,28-Jan-26,After Hours,25-Dec,"3,379,280,000"
SMG,The Scotts Miracle-Gro Company,28-Jan-26,,25-Dec,"3,144,440,000"
SLG,SL Green Realty Corp.,28-Jan-26,,25-Dec,"3,141,470,000"
LBRT,Liberty Energy Inc.,28-Jan-26,After Hours,25-Dec,"3,119,480,000"
STARHEALTH,Star Health and Allied Insurance Company Limited,28-Jan-26,,25-Dec,"3,066,330,000"
BAIN,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco,28-Jan-26,,25-Sep,"2,970,080,000"
PPLPHARMA,Piramal Pharma Limited,28-Jan-26,,25-Dec,"2,968,470,000"
HWKN,"Hawkins, Inc.",28-Jan-26,After Hours,25-Dec,"2,922,130,000"
1797,East Buy Holding Limited,28-Jan-26,,25-Nov,"2,879,070,000"
COLBUN,Colbún S.A.,28-Jan-26,,25-Dec,"2,789,720,000"
ENA,ENEA S.A.,28-Jan-26,,25-Dec,"2,559,230,000"
FFBC,First Financial Bancorp.,28-Jan-26,After Hours,25-Dec,"2,496,310,000"
A035250,"Kangwon Land, Inc.",28-Jan-26,,25-Dec,"2,450,990,000"
LC,LendingClub Corporation,28-Jan-26,After Hours,25-Dec,"2,427,100,000"
EXTR,"Extreme Networks, Inc.",28-Jan-26,Pre Market,25-Dec,"2,314,670,000"
CIA,Champion Iron Limited,28-Jan-26,,25-Dec,"2,261,610,000"
SUNDRMFAST,Sundram Fasteners Limited,28-Jan-26,,25-Dec,"2,255,860,000"
BBT,Beacon Financial Corporation,28-Jan-26,After Hours,25-Dec,"2,097,300,000"
