Ticker,Company,Date,Time,Quarter Ending,Market Cap
AMAT,"Applied Materials, Inc.",12-Feb-26,After Hours,Jan-26,2.55983E+11
RMS,Hermès International Société en commandite par actions,12-Feb-26,,Dec-25,2.54688E+11
OR,L'Oréal S.A.,12-Feb-26,,Dec-25,2.48655E+11
SIE,Siemens Aktiengesellschaft,12-Feb-26,,Dec-25,2.29885E+11
ANET,"Arista Networks, Inc.",12-Feb-26,After Hours,Dec-25,1.73139E+11
ULVR,Unilever PLC,12-Feb-26,,Dec-25,1.58619E+11
ABI,Anheuser-Busch InBev SA/NV,12-Feb-26,,Dec-25,1.48335E+11
9984,SoftBank Group Corp.,12-Feb-26,,Dec-25,1.45052E+11
BATS,British American Tobacco p.l.c.,12-Feb-26,,Dec-25,1.36225E+11
VRTX,Vertex Pharmaceuticals Incorporated,12-Feb-26,After Hours,Dec-25,1.21257E+11
BN,Brookfield Corporation,12-Feb-26,Pre Market,Dec-25,1.01439E+11
AEM,Agnico Eagle Mines Limited,12-Feb-26,After Hours,Dec-25,98702350000
HWM,Howmet Aerospace Inc.,12-Feb-26,Pre Market,Dec-25,89724210000
ABNB,"Airbnb, Inc.",12-Feb-26,After Hours,Dec-25,74083810000
VALE3,Vale S.A.,12-Feb-26,,Dec-25,70068940000
MBG,Mercedes-Benz Group AG,12-Feb-26,,Dec-25,66248670000
285A,Kioxia Holdings Corporation,12-Feb-26,,Dec-25,66176670000
AEP,"American Electric Power Company, Inc.",12-Feb-26,Pre Market,Dec-25,64518620000
KBC,KBC Group NV,12-Feb-26,,Dec-25,56390830000
ZTS,Zoetis Inc.,12-Feb-26,Pre Market,Dec-25,56153130000
REL,RELX PLC,12-Feb-26,Pre Market,Dec-25,52874830000
PSA,Public Storage,12-Feb-26,After Hours,Dec-25,50357890000
CBRE,"CBRE Group, Inc.",12-Feb-26,Pre Market,Dec-25,49736330000
EXC,Exelon Corporation,12-Feb-26,Pre Market,Dec-25,44786170000
COIN,"Coinbase Global, Inc.",12-Feb-26,After Hours,Dec-25,44525870000
ETR,Entergy Corporation,12-Feb-26,Pre Market,Dec-25,44306280000
SCMN,Swisscom AG,12-Feb-26,,Dec-25,44228910000
ALNY,"Alnylam Pharmaceuticals, Inc.",12-Feb-26,Pre Market,Dec-25,43354470000
ADYEN,Adyen N.V.,12-Feb-26,,Dec-25,42269110000
IR,Ingersoll Rand Inc.,12-Feb-26,After Hours,Dec-25,38918370000
EMAAR,Emaar Properties PJSC,12-Feb-26,,Dec-25,38386620000
ONGC,Oil and Natural Gas Corporation Limited,12-Feb-26,,Dec-25,37351940000
PCG,PG&E Corporation,12-Feb-26,,Dec-25,36045730000
COALINDIA,Coal India Limited,12-Feb-26,,Dec-25,31410130000
HAL,Hindustan Aeronautics Limited,12-Feb-26,,Dec-25,30030250000
EXPE,"Expedia Group, Inc.",12-Feb-26,After Hours,Dec-25,29021830000
IRM,Iron Mountain Incorporated,12-Feb-26,Pre Market,Dec-25,28311560000
NBIS,Nebius Group N.V.,12-Feb-26,,Dec-25,27379000000
DXCM,"DexCom, Inc.",12-Feb-26,After Hours,Dec-25,27121730000
1347,Hua Hong Semiconductor Limited,12-Feb-26,,Dec-25,26409930000
ES,Eversource Energy,12-Feb-26,After Hours,Dec-25,26304510000
FTS,Fortis Inc.,12-Feb-26,Pre Market,Dec-25,26099250000
BAP,Credicorp Ltd.,12-Feb-26,After Hours,Dec-25,25542550000
FMCC,Federal Home Loan Mortgage Corporation,12-Feb-26,,Dec-25,24739900000
