Ticker,Company,Date,Time,Quarter Ending, Market Cap 
CFG,"Citizens Financial Group, Inc.",21-Jan-26,Pre Market,Dec-25," 26,121,350,000 "
CHCO,City Holding Company,21-Jan-26,,Dec-25," 1,750,220,000 "
CIBH,"CIB Marine Bancshares, Inc.",23-Jan-26,,Dec-25," 49,940,000 "
CIPLA,Cipla Limited,23-Jan-26,,Dec-25," 13,808,920,000 "
CLMT,CapitaLand Malaysia Trust,20-Jan-26,,Dec-25," 537,000,000 "
CLST,"Catalyst Bancorp, Inc.",22-Jan-26,,Dec-25," 64,490,000 "
CMA,Comerica Incorporated,20-Jan-26,,Dec-25," 9,067,470,000 "
CMTV,Community Bancorp,20-Jan-26,,Dec-25," 138,030,000 "
CNS,"Cohen & Steers, Inc.",22-Jan-26,,Dec-25," 3,155,330,000 "
COF,Capital One Financial Corporation,22-Jan-26,,Dec-25," 135,834,230,000 "
COFORGE,Coforge Limited,21-Jan-26,,Dec-25," 6,908,890,000 "
COLB,"Columbia Banking System, Inc.",22-Jan-26,,Dec-25," 2,322,990,000 "
COSO,"CoastalSouth Bancshares, Inc.",20-Jan-26,,Dec-25," 285,460,000 "
CPKF,"Chesapeake Financial Shares, Inc.",20-Jan-26,,Dec-25," 131,110,000 "
CRDL,Cordel Group Plc,20-Jan-26,,Dec-25," 18,420,000 "
CRED A,Creades AB,22-Jan-26,,Dec-25," 1,050,750,000 "
CREDITACC,CreditAccess Grameen Limited,20-Jan-26,,Dec-25," 2,292,420,000 "
CSBB,"CSB Bancorp, Inc.",22-Jan-26,,Dec-25," 147,150,000 "
CSHX,Cashmere Valley Bank,20-Jan-26,,Dec-25," 242,640,000 "
CSX,CSX Corporation,22-Jan-26,,Dec-25," 68,224,340,000 "
CTBI,"Community Trust Bancorp, Inc.",21-Jan-26,,Dec-25," 1,089,120,000 "
CUBI,"Customers Bancorp, Inc.",22-Jan-26,,Dec-25," 2,254,750,000 "
CVBF,CVB Financial Corp.,21-Jan-26,,Dec-25," 2,725,240,000 "
CWBC,Community West Bancshares,22-Jan-26,,Dec-25," 137,000,000 "
CXI,"Currency Exchange International, Corp.",21-Jan-26,,Oct-25," 104,540,000 "
CYBERTECH,CyberTech Systems and Software Limited,22-Jan-26,,Dec-25," 51,440,000 "
CYIENTDLM,Cyient DLM Limited,20-Jan-26,,Dec-25," 311,600,000 "
CZNC,Citizens & Northern Corporation,22-Jan-26,,Dec-25," 384,880,000 "
DALMIABHA,Dalmia Bharat Limited,21-Jan-26,,Dec-25," 3,090,380,000 "
DCBBANK,DCB Bank Limited,23-Jan-26,,Dec-25," 642,240,000 "
DCMSHRIRAM,DCM Shriram Limited,20-Jan-26,,Dec-25," 2,287,230,000 "
DCOM,"Dime Community Bancshares, Inc.",21-Jan-26,Pre Market,Dec-25," 1,319,460,000 "
DHI,"D.R. Horton, Inc.",20-Jan-26,Pre Market,Dec-25," 43,603,260,000 "
DLF,DLF Limited,22-Jan-26,,Dec-25," 20,331,290,000 "
E2E,E2E Networks Limited,20-Jan-26,,Dec-25," 453,050,000 "
EBC,"Eastern Bankshares, Inc.",22-Jan-26,,Dec-25," 4,735,630,000 "
EGBN,"Eagle Bancorp, Inc.",21-Jan-26,After Hours,Dec-25," 649,340,000 "
EQBK,"Equity Bancshares, Inc.",21-Jan-26,After Hours,Dec-25," 855,930,000 "
EQT,EQT AB (publ),22-Jan-26,,Dec-25," 47,934,030,000 "
ERIC B,Telefonaktiebolaget LM Ericsson (publ),23-Jan-26,,Dec-25," 31,602,580,000 "
ESQ,"Esquire Financial Holdings, Inc.",22-Jan-26,,Dec-25," 876,760,000 "
ESSITY B,Essity AB (publ),22-Jan-26,,Dec-25," 18,161,660,000 "
ETERNAL,Eternal Limited,20-Jan-26,,Dec-25," 28,767,160,000 "
EWBC,"East West Bancorp, Inc.",22-Jan-26,,Dec-25," 14,679,400,000 "
FAST,Fastenal Company,20-Jan-26,Pre Market,Dec-25," 50,388,240,000 "
FBK,FB Financial Corporation,21-Jan-26,After Hours,Dec-25," 2,873,290,000 "
FBNC,First Bancorp,21-Jan-26,,Dec-25," 2,395,500,000 "
FCAP,"First Capital, Inc.",23-Jan-26,,Dec-25," 170,290,000 "
FCNC.A,"First Citizens BancShares, Inc.",23-Jan-26,,Dec-25," 26,585,810,000 "
FCX,Freeport-McMoRan Inc.,22-Jan-26,,Dec-25," 86,744,570,000 "
FFDF,FFD Financial Corporation,23-Jan-26,,Dec-25," 105,130,000 "
FFIN,"First Financial Bankshares, Inc.",22-Jan-26,,Dec-25," 4,762,830,000 "
FFWC,FFW Corporation,22-Jan-26,,Dec-25," 49,860,000 "
FITB,Fifth Third Bancorp,20-Jan-26,Pre Market,Dec-25," 32,497,200,000 "
FLERIE,Flerie AB (publ),21-Jan-26,,Dec-25," 319,390,000 "
FMBH,"First Mid Bancshares, Inc.",22-Jan-26,,Dec-25," 1,005,270,000 "
FMBL,Farmers & Merchants Bank of Long Beach,21-Jan-26,,Dec-25," 1,010,010,000 "
FNB,F.N.B. Corporation,20-Jan-26,After Hours,Dec-25," 6,228,000,000 "
FNLC,"The First Bancorp, Inc.",21-Jan-26,,Dec-25," 301,990,000 "
FOR,Forestar Group Inc.,20-Jan-26,,Dec-25," 1,351,890,000 "
FPH,"Five Point Holdings, LLC",22-Jan-26,,Dec-25," 398,280,000 "
FRSB,"First Resource Bancorp, Inc.",22-Jan-26,,Dec-25," 59,550,000 "
FSBW,"FS Bancorp, Inc.",20-Jan-26,,Dec-25," 307,660,000 "
FULT,Fulton Financial Corporation,21-Jan-26,After Hours,Dec-25," 3,584,790,000 "
FVCB,"FVCBankcorp, Inc.",20-Jan-26,,Dec-25," 249,970,000 "
GAEL,Gujarat Ambuja Exports Limited,23-Jan-26,,Dec-25," 680,440,000 "
GBCI,"Glacier Bancorp, Inc.",22-Jan-26,,Dec-25," 5,973,400,000 "
GCBC,"Greene County Bancorp, Inc.",21-Jan-26,,Dec-25," 380,210,000 "
GOCOLORS,Go Fashion (India) Limited,23-Jan-26,,Dec-25," 223,460,000 "
GODIGIT,Go Digit General Insurance Limited,22-Jan-26,,Dec-25," 3,537,830,000 "
GODREJCP,Godrej Consumer Products Limited,23-Jan-26,,Dec-25," 13,241,200,000 "
GOVB,"Gouverneur Bancorp, Inc.",22-Jan-26,,Dec-25," 17,400,000 "
GRAVITA,Gravita India Limited,21-Jan-26,,Dec-25," 1,470,840,000 "
GREENPOWER,Orient Green Power Company Limited,22-Jan-26,,Dec-25," 126,870,000 "
GSBC,"Great Southern Bancorp, Inc.",21-Jan-26,After Hours,Dec-25," 693,290,000 "
GSPL,Gujarat State Petronet Limited,22-Jan-26,,Dec-25," 1,897,910,000 "
GTPS,"Great American Bancorp, Inc.",21-Jan-26,,Dec-25," 24,230,000 "
GURU,GURU Organic Energy Corp.,22-Jan-26,,Oct-25," 134,980,000 "
GWCS,Gulf Warehousing Company Q.P.S.C.,20-Jan-26,,Dec-25," 373,750,000 "
HAL,Halliburton Company,21-Jan-26,Pre Market,Dec-25," 20,726,760,000 "
HBAN,Huntington Bancshares Incorporated,22-Jan-26,,Dec-25," 28,253,480,000 "
HERITGFOOD,Heritage Foods Limited,20-Jan-26,,Dec-25," 403,630,000 "
HFWA,Heritage Financial Corporation,22-Jan-26,,Dec-25," 902,750,000 "
HIHO,Highway Holdings Limited,20-Jan-26,,Dec-25," 5,250,000 "
HINDPETRO,Hindustan Petroleum Corporation Limited,20-Jan-26,,Dec-25," 10,696,720,000 "
HOMEFIRST,Home First Finance Company India Limited,22-Jan-26,,Dec-25," 1,357,460,000 "
HRRB,"Horizon Bancorp, Inc.",21-Jan-26,After Hours,Dec-25," 310,530,000 "
HTB,"HomeTrust Bancshares, Inc.",22-Jan-26,,Dec-25," 790,570,000 "
HTBK,Heritage Commerce Corp,22-Jan-26,,Dec-25," 789,820,000 "
HUDCO,Housing and Urban Development Corporation Limited,20-Jan-26,,Dec-25," 5,134,740,000 "
HWC,Hancock Whitney Corporation,20-Jan-26,After Hours,Dec-25," 5,549,400,000 "
IBCP,Independent Bank Corporation,22-Jan-26,,Dec-25," 721,320,000 "
IBKR,"Interactive Brokers Group, Inc.",20-Jan-26,After Hours,Dec-25," 32,671,910,000 "
IGBREIT,IGB Real Estate Investment Trust,21-Jan-26,,Dec-25," 2,414,640,000 "
IIFL,IIFL Finance Limited,22-Jan-26,,Dec-25," 2,747,350,000 "
IKA,Ilika plc,22-Jan-26,,Oct-25," 87,520,000 "
INDB,Independent Bank Corp.,22-Jan-26,,Dec-25," 3,792,660,000 "
INDIACEM,The India Cements Limited,23-Jan-26,,Dec-25," 1,427,640,000 "
INDIAMART,IndiaMART InterMESH Limited,20-Jan-26,,Dec-25," 1,468,090,000 "
INDIANB,Indian Bank,22-Jan-26,,Dec-25," 11,621,030,000 "
INDIGO,InterGlobe Aviation Limited,22-Jan-26,,Dec-25," 20,194,910,000 "
INDUSINDBK,IndusInd Bank Limited,23-Jan-26,,Dec-25," 7,791,760,000 "
INTC,Intel Corporation,22-Jan-26,,Dec-25," 225,132,700,000 "
INTELLECT,Intellect Design Arena Limited,22-Jan-26,,Dec-25," 1,804,550,000 "
INVE A,Investor AB (publ),22-Jan-26,,Dec-25," 115,780,490,000 "
ISRG,"Intuitive Surgical, Inc.",22-Jan-26,,Dec-25," 185,752,400,000 "
ISTR,Investar Holding Corporation,22-Jan-26,,Dec-25," 367,550,000 "
ITCHOTELS,ITC Hotels Limited,20-Jan-26,,Dec-25," 4,891,260,000 "
ITP,Interparfums SA,21-Jan-26,,Dec-25," 2,447,990,000 "
J&KBANK,Jammu and Kashmir Bank Limited,20-Jan-26,,Dec-25," 1,255,900,000 "
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,20-Jan-26,,Dec-25," 119,530,000 "
JNJ,Johnson & Johnson,21-Jan-26,Pre Market,Dec-25," 526,816,470,000 "
JSL,Jindal Stainless Limited,21-Jan-26,,Dec-25," 7,929,860,000 "
