Ticker,Company,Date,Time,Quarter Ending,Market Cap
1560,Kinik Company,23-Feb-26,,Dec-25,1736910000
PLYA,Playa Hotels & Resorts N.V.,23-Feb-26,,Dec-25,1722980000
2637,"Wisdom Marine Lines Co., Limited (Cayman)",23-Feb-26,,Dec-25,1630400000
WHA,WHA Corporation Public Company Limited,23-Feb-26,,Dec-25,1593320000
GNP *,"Grupo Nacional Provincial, S.A.B.",23-Feb-26,,Dec-25,1499350000
6010,The National Agricultural Development Company,23-Feb-26,,Dec-25,1473530000
AAV,Advantage Energy Ltd.,23-Feb-26,,Dec-25,1467760000
SMR,Stanmore Resources Limited,23-Feb-26,,Dec-25,1461680000
AHCS,Aamal Company Q.P.S.C.,23-Feb-26,,Dec-25,1439910000
ADEA,Adeia Inc.,23-Feb-26,,Dec-25,1434580000
TNC,Tennant Company,23-Feb-26,After Hours,Dec-25,1407660000
LDA,"Línea Directa Aseguradora, S.A., Compañía de Seguros y Reaseguros",23-Feb-26,,Dec-25,1374000000
IIPR,"Innovative Industrial Properties, Inc.",23-Feb-26,After Hours,Dec-25,1372000000
5904,"POYA International Co., Ltd.",23-Feb-26,,Dec-25,1351870000
ZD,"Ziff Davis, Inc.",23-Feb-26,After Hours,Dec-25,1335260000
GASMSIA,Gas Malaysia Berhad,23-Feb-26,,Dec-25,1311700000
MONY,MONY Group plc,23-Feb-26,,Dec-25,1279000000
CPNREIT,CPN Retail Growth Leasehold REIT,23-Feb-26,,Dec-25,1251710000
AESI,Atlas Energy Solutions Inc.,23-Feb-26,After Hours,Dec-25,1250980000
PRA,ProAssurance Corporation,23-Feb-26,,Dec-25,1239070000
EOS,Electro Optic Systems Holdings Limited,23-Feb-26,,Dec-25,1218200000
A023590,Daou Technology Inc.,23-Feb-26,,Dec-25,1212220000
UCTT,"Ultra Clean Holdings, Inc.",23-Feb-26,After Hours,Dec-25,1182330000
SLYG,Shelly Group SE,23-Feb-26,,Dec-25,1163160000
GEMI,"Gemini Space Station, Inc.",23-Feb-26,,Dec-25,1143590000
DHC,Diversified Healthcare Trust,23-Feb-26,,Dec-25,1135670000
GREATEC,Greatech Technology Berhad,23-Feb-26,,Dec-25,1124810000
SOLG,SolGold Plc,23-Feb-26,,Dec-25,1119970000
IMD,Imdex Limited,23-Feb-26,,Dec-25,1115730000
ATX,ATEX Resources Inc.,23-Feb-26,,Dec-25,1097220000
NGI,Navigator Global Investments Limited,23-Feb-26,,Dec-25,1086890000
SCL,Stepan Company,23-Feb-26,Pre Market,Dec-25,1085490000
WHART,WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust,23-Feb-26,,Dec-25,1084620000
