Ticker,Company,Date,Time,Quarter Ending,Market Cap
KO,The Coca-Cola Company,10-Feb-26,,Dec-25,3.39956E+11
AZN,AstraZeneca PLC,10-Feb-26,Pre Market,Dec-25,2.97912E+11
GILD,"Gilead Sciences, Inc.",10-Feb-26,After Hours,Dec-25,1.89204E+11
CBA,Commonwealth Bank of Australia,10-Feb-26,,Dec-25,1.84874E+11
WELL,Welltower Inc.,10-Feb-26,After Hours,Dec-25,1.34465E+11
SPGI,S&P Global Inc.,10-Feb-26,Pre Market,Dec-25,1.33014E+11
BP.,BP p.l.c.,10-Feb-26,Pre Market,Dec-25,1.00065E+11
CVS,CVS Health Corporation,10-Feb-26,Pre Market,Dec-25,99460040000
DUK,Duke Energy Corporation,10-Feb-26,Pre Market,Dec-25,94765800000
BARC,Barclays PLC,10-Feb-26,Pre Market,Dec-25,90043260000
MAR,"Marriott International, Inc.",10-Feb-26,,Dec-25,89425550000
SPOT,Spotify Technology S.A.,10-Feb-26,Pre Market,Dec-25,87093040000
981,Semiconductor Manufacturing International Corporation,10-Feb-26,,Dec-25,84427930000
ECL,Ecolab Inc.,10-Feb-26,Pre Market,Dec-25,82231810000
WMB,"The Williams Companies, Inc.",10-Feb-26,,Dec-25,81723970000
HOOD,"Robinhood Markets, Inc.",10-Feb-26,After Hours,Dec-25,74470820000
AMX B,"América Móvil, S.A.B. de C.V.",10-Feb-26,,Dec-25,64854890000
NET,"Cloudflare, Inc.",10-Feb-26,After Hours,Dec-25,60672200000
CSL,CSL Limited,10-Feb-26,,Dec-25,60543310000
RACE,Ferrari N.V.,10-Feb-26,Pre Market,Dec-25,58826200000
F,Ford Motor Company,10-Feb-26,After Hours,Dec-25,54986080000
EW,Edwards Lifesciences Corporation,10-Feb-26,After Hours,Dec-25,45675410000
7267,"Honda Motor Co., Ltd.",10-Feb-26,,Dec-25,41922520000
AIG,"American International Group, Inc.",10-Feb-26,After Hours,Dec-25,41396270000
500114,Titan Company Limited,10-Feb-26,,Dec-25,40592790000
DDOG,"Datadog, Inc.",10-Feb-26,Pre Market,Dec-25,39166420000
NVTK,PAO NOVATEK,10-Feb-26,,Dec-25,38601490000
KER,Kering SA,10-Feb-26,,Dec-25,37400760000
XYL,Xylem Inc.,10-Feb-26,Pre Market,Dec-25,34601820000
IFC,Intact Financial Corporation,10-Feb-26,,Dec-25,33929130000
FISV,"Fiserv, Inc.",10-Feb-26,Pre Market,Dec-25,32271110000
