Ticker,Company,Date,Time,Quarter Ending,Market Cap
CSCO,"Cisco Systems, Inc.",11-Feb-26,After Hours,Jan-26,3.35132E+11
MCD,McDonald's Corporation,11-Feb-26,Pre Market,Dec-25,2.32988E+11
TMUS,"T-Mobile US, Inc.",11-Feb-26,Pre Market,Dec-25,2.20782E+11
TTE,TotalEnergies SE,11-Feb-26,Pre Market,Dec-25,1.58504E+11
ENR,Siemens Energy AG,11-Feb-26,,Dec-25,1.53697E+11
SHOP,Shopify Inc.,11-Feb-26,Pre Market,Dec-25,1.45872E+11
EL,EssilorLuxottica Société anonyme,11-Feb-26,,Dec-25,1.39685E+11
APP,AppLovin Corporation,11-Feb-26,,Dec-25,1.37453E+11
EQIX,"Equinix, Inc.",11-Feb-26,After Hours,Dec-25,83273580000
9999,"NetEase, Inc.",11-Feb-26,Pre Market,Dec-25,76373890000
VRT,Vertiv Holdings Co,11-Feb-26,,Dec-25,74777730000
HLT,Hilton Worldwide Holdings Inc.,11-Feb-26,Pre Market,Dec-25,73072970000
MSI,"Motorola Solutions, Inc.",11-Feb-26,After Hours,Dec-25,70316190000
MFC,Manulife Financial Corporation,11-Feb-26,,Dec-25,63832820000
HEIA,Heineken N.V.,11-Feb-26,,Dec-25,48177360000
DB1,Deutsche Börse AG,11-Feb-26,,Dec-25,46473740000
M&M,Mahindra & Mahindra Limited,11-Feb-26,,Dec-25,44093830000
CBK,Commerzbank AG,11-Feb-26,,Dec-25,44071040000
WCN,"Waste Connections, Inc.",11-Feb-26,After Hours,Dec-25,43311340000
WAB,Westinghouse Air Brake Technologies Corporation,11-Feb-26,Pre Market,Dec-25,42110170000
MLM,"Martin Marietta Materials, Inc.",11-Feb-26,Pre Market,Dec-25,41611930000
SCHN,Schindler Holding AG,11-Feb-26,,Dec-25,41593240000
GWO,Great-West Lifeco Inc.,11-Feb-26,,Dec-25,40839990000
AD,Koninklijke Ahold Delhaize N.V.,11-Feb-26,,Dec-25,36762390000
SLF,Sun Life Financial Inc.,11-Feb-26,After Hours,Dec-25,36091530000
DSY,Dassault Systèmes SE,11-Feb-26,,Dec-25,34523110000
ROL,"Rollins, Inc.",11-Feb-26,After Hours,Dec-25,30182570000
ABN,ABN AMRO Bank N.V.,11-Feb-26,,Dec-25,29684530000
KHC,The Kraft Heinz Company,11-Feb-26,Pre Market,Dec-25,29167350000
AEE,Ameren Corporation,11-Feb-26,After Hours,Dec-25,28426310000
NST,Northern Star Resources Limited,11-Feb-26,,Dec-25,25685720000
ML,Compagnie Générale des Établissements Michelin Société en commandite par actions,11-Feb-26,,Dec-25,23988870000
HUM,Humana Inc.,11-Feb-26,Pre Market,Dec-25,23325760000
GFS,GlobalFoundries Inc.,11-Feb-26,Pre Market,Dec-25,22916310000
BBAS3,Banco do Brasil S.A.,11-Feb-26,,Dec-25,22690720000
SW,Smurfit Westrock Plc,11-Feb-26,,Dec-25,22245970000
NI,NiSource Inc.,11-Feb-26,,Dec-25,20637580000
IQCD,Industries Qatar Q.P.S.C.,11-Feb-26,,Dec-25,20607060000
SGSN,SGS SA,11-Feb-26,,Dec-25,20449650000
CW,Curtiss-Wright Corporation,11-Feb-26,After Hours,Dec-25,20271200000
HEIO,Heineken Holding N.V.,11-Feb-26,,Dec-25,19927310000
TYL,"Tyler Technologies, Inc.",11-Feb-26,After Hours,Dec-25,18932630000
7936,ASICS Corporation,11-Feb-26,,Dec-25,18490100000
THC,Tenet Healthcare Corporation,11-Feb-26,Pre Market,Dec-25,17935250000
GRAB,Grab Holdings Limited,11-Feb-26,After Hours,Dec-25,17901060000
DIVISLAB,Divi's Laboratories Limited,11-Feb-26,,Dec-25,17540560000
GFL,GFL Environmental Inc.,11-Feb-26,After Hours,Dec-25,16940710000
HUBS,"HubSpot, Inc.",11-Feb-26,After Hours,Dec-25,16338010000
AKRBP,Aker BP ASA,11-Feb-26,,Dec-25,16285480000
U,Unity Software Inc.,11-Feb-26,Pre Market,Dec-25,16009200000
IFF,International Flavors & Fragrances Inc.,11-Feb-26,,Dec-25,15935930000
JBS,JBS N.V.,11-Feb-26,,Dec-25,15914980000
LATO B,Investment AB Latour (publ),11-Feb-26,,Dec-25,15764710000
RPRX,Royalty Pharma plc,11-Feb-26,Pre Market,Dec-25,15592810000
A011200,"HMM Co.,Ltd",11-Feb-26,,Dec-25,14880810000
ENX,Euronext N.V.,11-Feb-26,,Dec-25,14592820000
PME,Pro Medicus Limited,11-Feb-26,,Dec-25,14199460000
ORG,Origin Energy Limited,11-Feb-26,,Dec-25,13906550000
