Ticker,Company,Date,Time,Quarter Ending, Market Cap 
XOM,Exxon Mobil Corporation,30-Jan-26,Pre Market,25-Dec,"590,910,600,000"
CVX,Chevron Corporation,30-Jan-26,Pre Market,25-Dec,"350,262,000,000"
AXP,American Express Company,30-Jan-26,Pre Market,25-Dec,"241,588,620,000"
VZ,Verizon Communications Inc.,30-Jan-26,Pre Market,25-Dec,"187,740,840,000"
8316,"Sumitomo Mitsui Financial Group, Inc.",30-Jan-26,,25-Dec,"136,109,760,000"
CABK,"CaixaBank, S.A.",30-Jan-26,,25-Dec,"93,154,760,000"
REGN,"Regeneron Pharmaceuticals, Inc.",30-Jan-26,Pre Market,25-Dec,"76,072,370,000"
AON,Aon plc,30-Jan-26,Pre Market,25-Dec,"74,997,780,000"
CL,Colgate-Palmolive Company,30-Jan-26,Pre Market,25-Dec,"72,779,600,000"
APD,"Air Products and Chemicals, Inc.",30-Jan-26,Pre Market,25-Dec,"60,673,760,000"
CNR,Canadian National Railway Company,30-Jan-26,Pre Market,25-Dec,"59,000,000,000"
IMO,Imperial Oil Limited,30-Jan-26,Pre Market,25-Dec,"48,855,780,000"
SUNPHARMA,Sun Pharmaceutical Industries Limited,31-Jan-26,,25-Dec,"44,129,900,000"
NTPC,NTPC Limited,30-Jan-26,,25-Dec,"37,012,580,000"
SOFI,"SoFi Technologies, Inc.",30-Jan-26,,25-Dec,"33,019,380,000"
6301,Komatsu Ltd.,30-Jan-26,,25-Dec,"32,397,540,000"
HEXA B,Hexagon AB (publ),30-Jan-26,,25-Dec,"30,885,710,000"
BAJAJ-AUTO,Bajaj Auto Limited,30-Jan-26,,25-Dec,"29,228,780,000"
8604,"Nomura Holdings, Inc.",30-Jan-26,,25-Dec,"27,415,640,000"
POWERGRID,Power Grid Corporation of India Limited,30-Jan-26,,25-Dec,"26,373,190,000"
8308,"Resona Holdings, Inc.",30-Jan-26,,25-Dec,"25,655,070,000"
CHTR,"Charter Communications, Inc.",30-Jan-26,Pre Market,25-Dec,"24,556,720,000"
8309,"Sumitomo Mitsui Trust Group, Inc.",30-Jan-26,,25-Dec,"22,710,760,000"
CHD,"Church & Dwight Co., Inc.",30-Jan-26,,25-Dec,"21,758,190,000"
BEP.UN,Brookfield Renewable Partners L.P.,30-Jan-26,Pre Market,25-Dec,"17,579,820,000"
A086790,Hana Financial Group Inc.,30-Jan-26,,25-Dec,"17,568,250,000"
A064350,Hyundai Rotem Company,30-Jan-26,,25-Dec,"17,553,240,000"
500425,Ambuja Cements Limited,30-Jan-26,,25-Dec,"16,030,230,000"
LYB,LyondellBasell Industries N.V.,30-Jan-26,,25-Dec,"15,911,950,000"
9503,"The Kansai Electric Power Company, Incorporated",30-Jan-26,,25-Dec,"15,905,220,000"
BANKBARODA,Bank of Baroda Limited,30-Jan-26,,25-Dec,"15,374,990,000"
AAF,Airtel Africa Plc,30-Jan-26,,25-Dec,"14,965,400,000"
511243,Cholamandalam Investment and Finance Company Limited,30-Jan-26,,25-Dec,"14,880,030,000"
300803,"Beijing Compass Technology Development Co., Ltd.",31-Jan-26,,25-Dec,"14,276,910,000"
A010140,"Samsung Heavy Industries Co., Ltd.",30-Jan-26,,25-Dec,"13,281,330,000"
GAIL,GAIL (India) Limited,31-Jan-26,,25-Dec,"13,135,490,000"
LTM,LATAM Airlines Group S.A.,30-Jan-26,,25-Dec,"12,909,860,000"
RBI,Raiffeisen Bank International AG,30-Jan-26,,25-Dec,"12,454,450,000"
JINDALSTEL,Jindal Steel Limited,30-Jan-26,,25-Dec,"12,369,150,000"
BEN,"Franklin Resources, Inc.",30-Jan-26,Pre Market,25-Dec,"12,356,850,000"
6920,Lasertec Corporation,30-Jan-26,,25-Dec,"12,223,530,000"
BEPC,Brookfield Renewable Corporation,30-Jan-26,Pre Market,25-Dec,"12,162,180,000"
9531,"Tokyo Gas Co.,Ltd.",30-Jan-26,,25-Dec,"12,076,930,000"
SKF B,AB SKF (publ),30-Jan-26,,25-Dec,"11,664,840,000"
UHR,The Swatch Group AG,30-Jan-26,,25-Dec,"11,610,650,000"
ALV,"Autoliv, Inc.",30-Jan-26,Pre Market,25-Dec,"9,832,090,000"
BCI,Banco de Crédito e Inversiones,30-Jan-26,,25-Dec,"9,750,320,000"
SCA B,Svenska Cellulosa Aktiebolaget SCA (publ),30-Jan-26,,25-Dec,"9,462,300,000"
A298040,Hyosung Heavy Industries Corporation,30-Jan-26,,25-Dec,"9,356,670,000"
A066570,LG Electronics Inc.,30-Jan-26,,25-Dec,"9,317,390,000"
7735,"SCREEN Holdings Co., Ltd.",30-Jan-26,,25-Dec,"9,209,100,000"
9719,SCSK Corporation,30-Jan-26,,25-Dec,"8,974,460,000"
9202,ANA Holdings Inc.,30-Jan-26,,25-Dec,"8,964,900,000"
MOG.A,Moog Inc.,30-Jan-26,,25-Dec,"8,468,980,000"
ELISA,Elisa Oyj,30-Jan-26,,25-Dec,"8,373,470,000"
3092,"ZOZO, Inc.",30-Jan-26,,25-Dec,"8,164,870,000"
BEIJ B,Beijer Ref AB (publ),30-Jan-26,,25-Dec,"8,117,900,000"
539437,IDFC First Bank Limited,31-Jan-26,,25-Dec,"8,112,010,000"
5334,"Niterra Co., Ltd.",30-Jan-26,,25-Dec,"7,778,270,000"
IESC,"IES Holdings, Inc.",30-Jan-26,,25-Dec,"7,728,350,000"
JHG,Janus Henderson Group plc,30-Jan-26,Pre Market,25-Dec,"7,377,170,000"
SAIL,Steel Authority of India Limited,30-Jan-26,,25-Dec,"6,924,500,000"
KBCA,KBC Ancora SA,30-Jan-26,,25-Dec,"6,819,370,000"
BBU,Brookfield Business Partners L.P.,30-Jan-26,Pre Market,25-Dec,"6,720,310,000"
5844,"Kyoto Financial Group,Inc.",30-Jan-26,,25-Dec,"6,281,700,000"
BDL,Bharat Dynamics Limited,31-Jan-26,,25-Dec,"6,280,780,000"
9042,"Hankyu Hanshin Holdings, Inc.",30-Jan-26,,25-Dec,"6,078,290,000"
A307950,Hyundai Autoever Corporation,30-Jan-26,,25-Dec,"5,926,570,000"
HOLM B,Holmen AB (publ),30-Jan-26,,25-Dec,"5,825,350,000"
101,Hang Lung Properties Limited,30-Jan-26,,25-Dec,"5,607,920,000"
500163,Godfrey Phillips India Limited,30-Jan-26,,25-Dec,"5,303,290,000"
GNTX,Gentex Corporation,30-Jan-26,Pre Market,25-Dec,"5,101,370,000"
4506,"Sumitomo Pharma Co., Ltd.",30-Jan-26,,25-Dec,"4,835,170,000"
8572,"Acom Co., Ltd.",30-Jan-26,,25-Dec,"4,754,590,000"
9508,"Kyushu Electric Power Company, Incorporated",30-Jan-26,,25-Dec,"4,746,060,000"
500459,Procter & Gamble Hygiene and Health Care Limited,30-Jan-26,,25-Dec,"4,729,020,000"
FLG,"Flagstar Bank, National Association",30-Jan-26,,25-Dec,"4,580,000,000"
NATIONALUM,National Aluminium Company Limited,30-Jan-26,,25-Dec,"4,575,270,000"
9009,"Keisei Electric Railway Co., Ltd.",30-Jan-26,,25-Dec,"4,465,490,000"
2327,NS Solutions Corporation,30-Jan-26,,25-Dec,"4,432,630,000"
5332,TOTO LTD.,30-Jan-26,,25-Dec,"4,354,900,000"
9962,MISUMI Group Inc.,30-Jan-26,,25-Dec,"4,112,610,000"
7276,"Koito Manufacturing Co., Ltd.",30-Jan-26,,25-Dec,"3,919,280,000"
AIAENG,AIA Engineering Limited,30-Jan-26,,25-Dec,"3,831,880,000"
AJANTPHARM,Ajanta Pharma Limited,30-Jan-26,,25-Dec,"3,687,490,000"
ASTERDM,Aster DM Healthcare Limited,30-Jan-26,,25-Dec,"3,620,660,000"
9506,"Tohoku Electric Power Company, Incorporated",30-Jan-26,,25-Dec,"3,547,070,000"
9513,"Electric Power Development Co., Ltd.",30-Jan-26,,25-Dec,"3,534,530,000"
8341,"The 77 Bank, Ltd.",30-Jan-26,,25-Dec,"3,513,630,000"
500086,Exide Industries Limited,30-Jan-26,,25-Dec,"3,504,980,000"
1959,Kraftia Corporation,30-Jan-26,,25-Dec,"3,449,450,000"
2002,Nisshin Seifun Group Inc.,30-Jan-26,,25-Dec,"3,437,030,000"
8377,"Hokuhoku Financial Group, Inc.",30-Jan-26,,25-Dec,"3,410,190,000"
4816,"Toei Animation Co.,Ltd.",30-Jan-26,,25-Dec,"3,350,720,000"
MSUMI,Motherson Sumi Wiring India Limited,30-Jan-26,,25-Dec,"3,283,400,000"
LICHSGFIN,LIC Housing Finance Limited,30-Jan-26,,25-Dec,"3,251,460,000"
AEGISLOG,Aegis Logistics Limited,30-Jan-26,,25-Dec,"3,169,270,000"
FHB,"First Hawaiian, Inc.",30-Jan-26,Pre Market,25-Dec,"3,065,770,000"
BAIN,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco,30-Jan-26,,25-Sep,"2,970,080,000"
NIACL,The New India Assurance Company Limited,30-Jan-26,,25-Dec,"2,937,280,000"
