Ticker,Company,Date,Time,Quarter Ending,Market Cap
ATEC,"Alphatec Holdings, Inc.",24-Feb-26,After Hours,Dec-25,3104700000
KNSA,"Kiniksa Pharmaceuticals International, plc",24-Feb-26,Pre Market,Dec-25,3075790000
ALM,"Almirall, S.A.",24-Feb-26,,Dec-25,3072630000
FRVIA,Forvia SE,24-Feb-26,,Dec-25,3063610000
ALUP11,Alupar Investimento S.A.,24-Feb-26,,Dec-25,3051810000
ATE,Alten S.A.,24-Feb-26,,Dec-25,2946750000
MGEE,"MGE Energy, Inc.",24-Feb-26,,Dec-25,2886440000
6409,Voltronic Power Technology Corp.,24-Feb-26,,Dec-25,2879960000
KPJ,KPJ Healthcare Berhad,24-Feb-26,,Dec-25,2872890000
XMTR,"Xometry, Inc.",24-Feb-26,Pre Market,Dec-25,2867820000
ATRO,Astronics Corporation,24-Feb-26,After Hours,Dec-25,2714960000
BEAM,Beam Therapeutics Inc.,24-Feb-26,,Dec-25,2700240000
IPAR,"Interparfums, Inc.",24-Feb-26,After Hours,Dec-25,2699850000
SUPN,"Supernus Pharmaceuticals, Inc.",24-Feb-26,After Hours,Dec-25,2558480000
TXAR,Ternium Argentina S.A.,24-Feb-26,,Dec-25,2511430000
SEI,"Solaris Energy Infrastructure, Inc.",24-Feb-26,After Hours,Dec-25,2492340000
SAM,"The Boston Beer Company, Inc.",24-Feb-26,,Dec-25,2418180000
HURN,Huron Consulting Group Inc.,24-Feb-26,After Hours,Dec-25,2412620000
BB,Société BIC SA,24-Feb-26,,Dec-25,2314690000
CLVT,Clarivate Plc,24-Feb-26,Pre Market,Dec-25,2268720000
GRE,"Grenergy Renovables, S.A.",24-Feb-26,,Dec-25,2241320000
ILCO,Israel Corporation Ltd,24-Feb-26,,Dec-25,2225230000
8358,Co-Tech Development Corporation,24-Feb-26,,Dec-25,2206720000
CECO,CECO Environmental Corp.,24-Feb-26,Pre Market,Dec-25,2172680000
ENJSA,Enerjisa Enerji A.S.,24-Feb-26,,Dec-25,2153390000
HRMY,"Harmony Biosciences Holdings, Inc.",24-Feb-26,Pre Market,Dec-25,2120700000
ESTA,Establishment Labs Holdings Inc.,24-Feb-26,Pre Market,Dec-25,2106990000
MCEMENT,Malayan Cement Berhad,24-Feb-26,,Dec-25,2105900000
RVLV,"Revolve Group, Inc.",24-Feb-26,After Hours,Dec-25,2085100000
PRCT,PROCEPT BioRobotics Corporation,24-Feb-26,After Hours,Dec-25,2001220000
MQ,"Marqeta, Inc.",24-Feb-26,After Hours,Dec-25,1999120000
P8Z,Bumitama Agri Ltd.,24-Feb-26,,Dec-25,1998880000
TALO,Talos Energy Inc.,24-Feb-26,,Dec-25,1951470000
AUSS,Austevoll Seafood ASA,24-Feb-26,,Dec-25,1927160000
TILE,"Interface, Inc.",24-Feb-26,Pre Market,Dec-25,1820620000
ORBIA *,"Orbia Advance Corporation, S.A.B. de C.V.",24-Feb-26,,Dec-25,1816310000
SLX,Silex Systems Limited,24-Feb-26,,Dec-25,1810710000
WMK,"Weis Markets, Inc.",24-Feb-26,,Dec-25,1805860000
FLYW,Flywire Corporation,24-Feb-26,After Hours,Dec-25,1803810000
U10,UOB-Kay Hian Holdings Limited,24-Feb-26,,Dec-25,1802550000
PARR,"Par Pacific Holdings, Inc.",24-Feb-26,After Hours,Dec-25,1770750000
PNBN,PT Bank Pan Indonesia Tbk,24-Feb-26,,Dec-25,1763090000
EXPI,"eXp World Holdings, Inc.",24-Feb-26,After Hours,Dec-25,1761500000
MVC,Metrovacesa S.A.,24-Feb-26,,Dec-25,1745310000
LTC,"LTC Properties, Inc.",24-Feb-26,After Hours,Dec-25,1738870000
IPS,Ipsos SA,24-Feb-26,,Dec-25,1738290000
NVTS,Navitas Semiconductor Corporation,24-Feb-26,After Hours,Dec-25,1736940000
UFPT,"UFP Technologies, Inc.",24-Feb-26,After Hours,Dec-25,1719890000
AIN,Albany International Corp.,24-Feb-26,,Dec-25,1651970000
2637,"Wisdom Marine Lines Co., Limited (Cayman)",24-Feb-26,,Dec-25,1630400000
GBM O,"Corporativo GBM, S.A.B. de C.V.",24-Feb-26,,Dec-25,1596610000
SHLS,"Shoals Technologies Group, Inc.",24-Feb-26,Pre Market,Dec-25,1543320000
TAH,Tabcorp Holdings Limited,24-Feb-26,,Dec-25,1477900000
AND,Andlauer Healthcare Group Inc.,24-Feb-26,,Dec-25,1469770000
AAV,Advantage Energy Ltd.,24-Feb-26,,Dec-25,1467760000
AXGN,"Axogen, Inc.",24-Feb-26,,Dec-25,1464840000
NVRI,Enviri Corporation,24-Feb-26,Pre Market,Dec-25,1461430000
DMP,Domino's Pizza Enterprises Limited,24-Feb-26,,Dec-25,1439750000
STR,Sitio Royalties Corp.,24-Feb-26,,Dec-25,1419700000
XHR,"Xenia Hotels & Resorts, Inc.",24-Feb-26,Pre Market,Dec-25,1392700000
AHCO,AdaptHealth Corp.,24-Feb-26,,Dec-25,1377890000
INA,Ingenia Communities Group,24-Feb-26,,Dec-25,1373330000
CYD,China Yuchai International Limited,24-Feb-26,Pre Market,Dec-25,1321020000
A005290,"Dongjin Semichem Co., Ltd.",24-Feb-26,,Dec-25,1320210000
ZIM,Zimplats Holdings Limited,24-Feb-26,,Dec-25,1281890000
SILA,"Sila Realty Trust, Inc.",24-Feb-26,After Hours,Dec-25,1262240000
2855,President Securities Corporation,24-Feb-26,,Dec-25,1249140000
GOZ,Growthpoint Properties Australia,24-Feb-26,,Dec-25,1243220000
CGEO,Georgia Capital PLC,24-Feb-26,,Dec-25,1228760000
VNP,5N Plus Inc.,24-Feb-26,,Dec-25,1184360000
CRI,"Carter's, Inc.",24-Feb-26,,Dec-25,1182730000
SDR,SiteMinder Limited,24-Feb-26,,Dec-25,1163590000
GIC,Global Industrial Company,24-Feb-26,After Hours,Dec-25,1154050000
GREATEC,Greatech Technology Berhad,24-Feb-26,,Dec-25,1124810000
SOLG,SolGold Plc,24-Feb-26,,Dec-25,1119970000
ELV,Elevra Lithium Limited,24-Feb-26,,Dec-25,1112930000
VOLAR A,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",24-Feb-26,,Dec-25,1090610000
ABCL,AbCellera Biologics Inc.,24-Feb-26,After Hours,Dec-25,1083590000
SPALI,Supalai Public Company Limited,24-Feb-26,,Dec-25,1078600000
IGIC,International General Insurance Holdings Ltd.,24-Feb-26,After Hours,Dec-25,1057280000
AREIT,Altareit SCA,24-Feb-26,,Dec-25,1049830000
A077970,"STX Engine Co.,Ltd.",24-Feb-26,,Dec-25,1049790000
IOVA,"Iovance Biotherapeutics, Inc.",24-Feb-26,Pre Market,Dec-25,1048000000
HLI,Helia Group Limited,24-Feb-26,,Dec-25,1047030000
UPR,Uniphar plc,24-Feb-26,,Dec-25,1046040000
BTG,Betagro Public Company Limited,24-Feb-26,,Dec-25,1038530000
CJT,Cargojet Inc.,24-Feb-26,,Dec-25,1032570000
CDNA,"CareDx, Inc.",24-Feb-26,After Hours,Dec-25,1018880000
FWRG,"First Watch Restaurant Group, Inc.",24-Feb-26,Pre Market,Dec-25,998490000
SLDP,"Solid Power, Inc.",24-Feb-26,After Hours,Dec-25,981860000
ADN,First Sponsor Group Limited,24-Feb-26,,Dec-25,931940000
BCI,BCI Minerals Limited,24-Feb-26,,Dec-25,905730000
AESANDES,AES Andes S.A.,24-Feb-26,,Dec-25,871420000
DAWN,"Day One Biopharmaceuticals, Inc.",24-Feb-26,After Hours,Dec-25,858370000
RPL,Regal Partners Limited,24-Feb-26,,Dec-25,851420000
ERA,Energy Resources of Australia Ltd,24-Feb-26,,Dec-25,833290000
BOW,Bowhead Specialty Holdings Inc.,24-Feb-26,Pre Market,Dec-25,828750000
CBLL,"CeriBell, Inc.",24-Feb-26,After Hours,Dec-25,827600000
3714,ENNOSTAR Inc.,24-Feb-26,,Dec-25,825830000
6116,HannStar Display Corporation,24-Feb-26,,Dec-25,822120000
UVE,"Universal Insurance Holdings, Inc.",24-Feb-26,,Dec-25,809210000
S61,SBS Transit Ltd,24-Feb-26,,Dec-25,805830000
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",24-Feb-26,,Dec-25,778610000
MPCC,MPC Container Ships ASA,24-Feb-26,,Dec-25,756410000
NXRT,"NexPoint Residential Trust, Inc.",24-Feb-26,Pre Market,Dec-25,753070000
ABG,Abacus Group,24-Feb-26,,Dec-25,716400000
FULC,"Fulcrum Therapeutics, Inc.",24-Feb-26,,Dec-25,709180000
D6H,DATAGROUP SE,24-Feb-26,,Dec-25,681890000
315,SmarTone Telecommunications Holdings Limited,24-Feb-26,,Dec-25,679100000
WLKP,Westlake Chemical Partners LP,24-Feb-26,Pre Market,Dec-25,676370000
ENC,"ENCE Energía y Celulosa, S.A.",24-Feb-26,,Dec-25,645390000
9802,"Fulgent Sun International (Holding) Co., Ltd.",24-Feb-26,,Dec-25,639860000
CWH,"Camping World Holdings, Inc.",24-Feb-26,After Hours,Dec-25,614380000
FCL,FINEOS Corporation Holdings plc,24-Feb-26,,Dec-25,613160000
NEMAK A,"Nemak, S. A. B. de C. V.",24-Feb-26,,Dec-25,612260000
IDX,Integral Diagnostics Limited,24-Feb-26,,Dec-25,606860000
HSTR,Heliostar Metals Ltd.,24-Feb-26,,Dec-25,599050000
LAB,Standard BioTools Inc.,24-Feb-26,After Hours,Dec-25,596080000
HY,"Hyster-Yale, Inc.",24-Feb-26,,Dec-25,594790000
CEAB3,C&A Modas S.A.,24-Feb-26,,Dec-25,584180000
CRN,Coronado Global Resources Inc.,24-Feb-26,,Dec-25,562840000
PRS,"Promotora de Informaciones, S.A.",24-Feb-26,,Dec-25,549540000
SOAG,SpareBank 1 Østfold Akershus,24-Feb-26,,Dec-25,547780000
AVNS,"Avanos Medical, Inc.",24-Feb-26,Pre Market,Dec-25,545420000
OFIX,Orthofix Medical Inc.,24-Feb-26,,Dec-25,527860000
DRM,Dream Unlimited Corp.,24-Feb-26,,Dec-25,526290000
CLNE,Clean Energy Fuels Corp.,24-Feb-26,After Hours,Dec-25,508780000
3592,Raydium Semiconductor Corporation,24-Feb-26,,Dec-25,508330000
SCL,Scales Corporation Limited,24-Feb-26,,Dec-25,506770000
CYDSASA A,"Cydsa, S.A.B. de C.V.",24-Feb-26,,Dec-25,504570000
WGN,Wagners Holding Company Limited,24-Feb-26,,Dec-25,502220000
