Ticker,Company,Date,Time,Quarter Ending,Market Cap
MZTI,The Marzetti Company,03-Feb-26,Pre Market,Dec-25,4639480000
GPK,Graphic Packaging Holding Company,03-Feb-26,Pre Market,Dec-25,4630480000
MONET,"MONETA Money Bank, a.s.",03-Feb-26,,Dec-25,4624520000
A039490,"Kiwoom Securities Co., Ltd.",03-Feb-26,,Dec-25,4621540000
4676,"Fuji Media Holdings, Inc.",03-Feb-26,,Dec-25,4595720000
POWL,"Powell Industries, Inc.",03-Feb-26,After Hours,Dec-25,4587620000
BRBR,"BellRing Brands, Inc.",03-Feb-26,Pre Market,Dec-25,4408010000
MRCY,"Mercury Systems, Inc.",03-Feb-26,,Dec-25,4393320000
PJT,PJT Partners Inc.,03-Feb-26,Pre Market,Dec-25,4362990000
6806,"Hirose Electric Co.,Ltd.",03-Feb-26,,Dec-25,4109610000
6724,Seiko Epson Corporation,03-Feb-26,,Dec-25,3973960000
VRNS,"Varonis Systems, Inc.",03-Feb-26,After Hours,Dec-25,3907120000
EXCL,PT XLSMART Telecom Sejahtera Tbk,03-Feb-26,,Dec-25,3883820000
2331,"Alsok Co.,Ltd.",03-Feb-26,,Dec-25,3774180000
SPNO,Spar Nord Bank A/S,03-Feb-26,,Dec-25,3759660000
CBT,Cabot Corporation,03-Feb-26,After Hours,Dec-25,3625150000
CRVL,CorVel Corporation,03-Feb-26,,Dec-25,3542190000
6473,JTEKT Corporation,03-Feb-26,,Dec-25,3538660000
INTA,"Intapp, Inc.",03-Feb-26,After Hours,Dec-25,3522840000
A006260,LS Corp.,03-Feb-26,,Dec-25,3446950000
SIMO,Silicon Motion Technology Corporation,03-Feb-26,After Hours,Dec-25,3136350000
6471,NSK Ltd.,03-Feb-26,,Dec-25,2996680000
IAC,IAC Inc.,03-Feb-26,After Hours,Dec-25,2989690000
2871,Nichirei Corporation,03-Feb-26,,Dec-25,2942660000
COLM,Columbia Sportswear Company,03-Feb-26,After Hours,Dec-25,2919240000
APAM,Artisan Partners Asset Management Inc.,03-Feb-26,After Hours,Dec-25,2896680000
A001440,"Taihan Cable & Solution Co., Ltd.",03-Feb-26,,Dec-25,2843190000
3116,Toyota Boshoku Corporation,03-Feb-26,,Dec-25,2821700000
A302440,"SK bioscience Co.,Ltd.",03-Feb-26,,Dec-25,2782640000
FSL,Firstsource Solutions Limited,03-Feb-26,,Dec-25,2621390000
CPRI,Capri Holdings Limited,03-Feb-26,Pre Market,Dec-25,2561910000
KINV B,Kinnevik AB,03-Feb-26,,Dec-25,2510200000
PNI,Pinnacle Investment Management Group Limited,03-Feb-26,,Dec-25,2485990000
ATKR,Atkore Inc.,03-Feb-26,Pre Market,Dec-25,2436800000
MSGE,Madison Square Garden Entertainment Corp.,03-Feb-26,Pre Market,Dec-25,2257680000
