Ticker,Company,Date,Time,Quarter Ending, Market Cap 
MC,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",27-Jan-26,,Dec-25," 351,302,620,000 "
UNH,UnitedHealth Group Incorporated,27-Jan-26,Pre Market,Dec-25," 299,850,700,000 "
RTX,RTX Corporation,27-Jan-26,Pre Market,Dec-25," 262,697,450,000 "
BA,The Boeing Company,27-Jan-26,,Dec-25," 191,658,070,000 "
NEE,"NextEra Energy, Inc.",27-Jan-26,Pre Market,Dec-25," 176,626,130,000 "
TXN,Texas Instruments Incorporated,27-Jan-26,After Hours,Dec-25," 175,645,920,000 "
UNP,Union Pacific Corporation,27-Jan-26,Pre Market,Dec-25," 136,219,400,000 "
CDI,Christian Dior SE,27-Jan-26,,Dec-25," 117,195,430,000 "
HCA,"HCA Healthcare, Inc.",27-Jan-26,Pre Market,Dec-25," 107,451,940,000 "
NOC,Northrop Grumman Corporation,27-Jan-26,Pre Market,Dec-25," 96,043,470,000 "
UPS,"United Parcel Service, Inc.",27-Jan-26,Pre Market,Dec-25," 91,608,680,000 "
STX,Seagate Technology Holdings plc,27-Jan-26,,Jan-26," 75,405,520,000 "
GM,General Motors Company,27-Jan-26,Pre Market,Dec-25," 74,693,580,000 "
VOLV B,AB Volvo (publ),27-Jan-26,,Dec-25," 71,617,480,000 "
1180,The Saudi National Bank,27-Jan-26,,Dec-25," 68,067,950,000 "
4063,"Shin-Etsu Chemical Co., Ltd.",27-Jan-26,,Dec-25," 67,690,550,000 "
PCAR,PACCAR Inc,27-Jan-26,,Dec-25," 64,074,930,000 "
BBCA,PT Bank Central Asia Tbk,27-Jan-26,,Dec-25," 56,014,590,000 "
SAND,Sandvik AB (publ),27-Jan-26,,Dec-25," 44,480,180,000 "
ROP,"Roper Technologies, Inc.",27-Jan-26,Pre Market,Dec-25," 43,874,090,000 "
SEB A,Skandinaviska Enskilda Banken AB (publ),27-Jan-26,,Dec-25," 43,115,160,000 "
SYY,Sysco Corporation,27-Jan-26,Pre Market,Dec-25," 37,734,250,000 "
KMB,Kimberly-Clark Corporation,27-Jan-26,Pre Market,Dec-25," 32,963,620,000 "
ASIANPAINT,Asian Paints Limited,27-Jan-26,,Dec-25," 29,143,450,000 "
GFNORTE O,"Grupo Financiero Banorte, S.A.B. de C.V.",27-Jan-26,,Dec-25," 29,060,980,000 "
SYF,Synchrony Financial,27-Jan-26,Pre Market,Dec-25," 28,882,120,000 "
PPG,"PPG Industries, Inc.",27-Jan-26,After Hours,Dec-25," 24,733,370,000 "
NVR,"NVR, Inc.",27-Jan-26,,Dec-25," 21,470,480,000 "
PKG,Packaging Corporation of America,27-Jan-26,After Hours,Dec-25," 19,780,540,000 "
FFIV,"F5, Inc.",27-Jan-26,After Hours,Dec-25," 18,669,180,000 "
GFINBUR O,"Grupo Financiero Inbursa, S.A.B. de C.V.",27-Jan-26,,Dec-25," 16,010,120,000 "
LOGN,Logitech International S.A.,27-Jan-26,After Hours,Dec-25," 15,769,060,000 "
MRU,Metro Inc.,27-Jan-26,,Dec-25," 14,414,390,000 "
CGPOWER,CG Power and Industrial Solutions Limited,27-Jan-26,,Dec-25," 13,258,760,000 "
TATACONSUM,Tata Consumer Products Limited,27-Jan-26,,Dec-25," 12,678,670,000 "
MANH,"Manhattan Associates, Inc.",27-Jan-26,After Hours,Dec-25," 12,178,370,000 "
9697,"Capcom Co., Ltd.",27-Jan-26,,Dec-25," 12,105,200,000 "
TEL2 B,Tele2 AB (publ),27-Jan-26,,Dec-25," 11,723,820,000 "
UHR,The Swatch Group AG,27-Jan-26,,Dec-25," 11,610,650,000 "
NXT,Nextpower Inc.,27-Jan-26,After Hours,Dec-25," 11,412,460,000 "
BXP,"BXP, Inc.",27-Jan-26,After Hours,Dec-25," 11,354,280,000 "
IDEA,Vodafone Idea Limited,27-Jan-26,,Dec-25," 10,763,610,000 "
IVZ,Invesco Ltd.,27-Jan-26,,Dec-25," 10,720,970,000 "
3008,"LARGAN Precision Co.,Ltd",27-Jan-26,,Dec-25," 10,468,010,000 "
531642,Marico Limited,27-Jan-26,,Dec-25," 10,389,560,000 "
A010120,"LS ELECTRIC Co., Ltd.",27-Jan-26,,Dec-25," 9,892,750,000 "
AIT,"Applied Industrial Technologies, Inc.",27-Jan-26,Pre Market,Dec-25," 9,755,250,000 "
UMBF,UMB Financial Corporation,27-Jan-26,After Hours,Dec-25," 9,073,430,000 "
AAL,American Airlines Group Inc.,27-Jan-26,,Dec-25," 8,884,760,000 "
QRVO,"Qorvo, Inc.",27-Jan-26,After Hours,Dec-25," 8,661,320,000 "
BPOP,"Popular, Inc.",27-Jan-26,Pre Market,Dec-25," 8,510,710,000 "
SSAB A,SSAB AB (publ),27-Jan-26,,Dec-25," 7,991,810,000 "
GETI B,Getinge AB (publ),27-Jan-26,,Dec-25," 6,468,100,000 "
CVLT,"Commvault Systems, Inc.",27-Jan-26,Pre Market,Dec-25," 5,537,370,000 "
ANTM,PT Aneka Tambang Tbk,27-Jan-26,,Dec-25," 4,628,250,000 "
EMBASSY,Embassy Office Parks REIT,27-Jan-26,,Dec-25," 4,603,700,000 "
6239,Powertech Technology Inc.,27-Jan-26,,Dec-25," 4,159,680,000 "
2337,"Macronix International Co., Ltd.",27-Jan-26,,Dec-25," 4,091,630,000 "
ENVA,"Enova International, Inc.",27-Jan-26,After Hours,Dec-25," 4,035,710,000 "
ANDINA-B,Embotelladora Andina S.A.,27-Jan-26,,Dec-25," 4,011,950,000 "
PII,Polaris Inc.,27-Jan-26,Pre Market,Dec-25," 3,906,450,000 "
RNST,Renasant Corporation,27-Jan-26,After Hours,Dec-25," 3,507,240,000 "
GCC *,"GCC, S.A.B. de C.V.",27-Jan-26,,Dec-25," 3,422,280,000 "
FBP,First BanCorp.,27-Jan-26,Pre Market,Dec-25," 3,298,050,000 "
WSBC,"WesBanco, Inc.",27-Jan-26,After Hours,Dec-25," 3,294,360,000 "
CBU,"Community Financial System, Inc.",27-Jan-26,Pre Market,Dec-25," 2,932,750,000 "
BBAJIO O,"Banco del Bajío, S.A., Institución de Banca Múltiple",27-Jan-26,,Dec-25," 2,921,720,000 "
GEF,"Greif, Inc.",27-Jan-26,After Hours,Dec-25," 2,919,470,000 "
515030,Asahi India Glass Limited,27-Jan-26,,Dec-25," 2,823,790,000 "
LRN,"Stride, Inc.",27-Jan-26,After Hours,Dec-25," 2,791,670,000 "
COLBUN,Colbún S.A.,27-Jan-26,,Dec-25," 2,789,720,000 "
PFS,"Provident Financial Services, Inc.",27-Jan-26,,Dec-25," 2,745,680,000 "
GVYM,Gav-Yam Lands Corp. Ltd,27-Jan-26,,Dec-25," 2,565,190,000 "
TRMK,Trustmark Corporation,27-Jan-26,After Hours,Dec-25," 2,311,990,000 "
ECLERX,eClerx Services Limited,27-Jan-26,,Dec-25," 2,214,800,000 "
BUSE,First Busey Corporation,27-Jan-26,After Hours,Dec-25," 2,175,750,000 "
SCGP,SCG Packaging Public Company Limited,27-Jan-26,,Dec-25," 2,131,490,000 "
CHALET,Chalet Hotels Limited,27-Jan-26,,Dec-25," 1,959,600,000 "
ECL,Engie Energia Chile S.A.,27-Jan-26,,Dec-25," 1,939,220,000 "
NRIX,"Nurix Therapeutics, Inc.",27-Jan-26,,Nov-25," 1,933,110,000 "
BRG,Borregaard ASA,27-Jan-26,,Dec-25," 1,916,580,000 "
531358,Choice International Limited,27-Jan-26,,Dec-25," 1,847,200,000 "
JBLU,JetBlue Airways Corporation,27-Jan-26,Pre Market,Dec-25," 1,796,730,000 "
CLBK,"Columbia Financial, Inc.",27-Jan-26,,Dec-25," 1,793,200,000 "
FCF,First Commonwealth Financial Corporation,27-Jan-26,After Hours,Dec-25," 1,775,830,000 "
532605,JBM Auto Limited,27-Jan-26,,Dec-25," 1,731,740,000 "
505714,Gabriel India Limited,27-Jan-26,,Dec-25," 1,691,160,000 "
500645,Deepak Fertilisers And Petrochemicals Corporation Limited,27-Jan-26,,Dec-25," 1,620,350,000 "
NBHC,National Bank Holdings Corporation,27-Jan-26,After Hours,Dec-25," 1,525,280,000 "
QCRH,"QCR Holdings, Inc.",27-Jan-26,After Hours,Dec-25," 1,457,720,000 "
HOPE,"Hope Bancorp, Inc.",27-Jan-26,Pre Market,Dec-25," 1,439,530,000 "
CARTRADE,CarTrade Tech Limited,27-Jan-26,,Dec-25," 1,421,280,000 "
526612,Blue Dart Express Limited,27-Jan-26,,Dec-25," 1,372,250,000 "
517146,Usha Martin Limited,27-Jan-26,,Dec-25," 1,358,100,000 "
JWL,Jupiter Wagons Limited,27-Jan-26,,Dec-25," 1,231,480,000 "
RAILTEL,RailTel Corporation of India Limited,27-Jan-26,,Dec-25," 1,175,240,000 "
TSFINV,TSF Investments Limited,27-Jan-26,,Dec-25," 1,139,560,000 "
532439,Olectra Greentech Limited,27-Jan-26,,Dec-25," 1,132,280,000 "
SSII,"SS Innovations International, Inc.",27-Jan-26,,Dec-25," 1,049,430,000 "
8218,"Komeri Co.,Ltd.",27-Jan-26,,Dec-25," 1,033,580,000 "
XIFR,"XPLR Infrastructure, LP",27-Jan-26,,Dec-25," 906,780,000 "
HAFC,Hanmi Financial Corporation,27-Jan-26,After Hours,Dec-25," 860,300,000 "
505533,Westlife Foodworld Limited,27-Jan-26,,Dec-25," 836,030,000 "
HTLD,"Heartland Express, Inc.",27-Jan-26,,Dec-25," 818,620,000 "
AGF.B,AGF Management Limited,27-Jan-26,,Nov-25," 806,140,000 "
CCNE,CNB Financial Corporation,27-Jan-26,,Dec-25," 791,700,000 "
CAC,Camden National Corporation,27-Jan-26,Pre Market,Dec-25," 770,980,000 "
CCBG,"Capital City Bank Group, Inc.",27-Jan-26,,Dec-25," 756,320,000 "
ORRF,"Orrstown Financial Services, Inc.",27-Jan-26,After Hours,Dec-25," 705,860,000 "
WRLD,World Acceptance Corporation,27-Jan-26,Pre Market,Dec-25," 666,460,000 "
533047,Indian Metals and Ferro Alloys Limited,27-Jan-26,,Dec-25," 651,320,000 "
MASFIN,MAS Financial Services Limited,27-Jan-26,,Dec-25," 646,400,000 "
BHG,BHG Group AB (publ),27-Jan-26,,Dec-25," 634,930,000 "
FCBC,"First Community Bankshares, Inc.",27-Jan-26,,Dec-25," 600,730,000 "
532162,JK Paper Limited,27-Jan-26,,Dec-25," 588,020,000 "
AMBZ,American Business Bank,27-Jan-26,,Dec-25," 571,850,000 "
DATAMATICS,Datamatics Global Services Limited,27-Jan-26,,Dec-25," 543,340,000 "
FFIC,Flushing Financial Corporation,27-Jan-26,After Hours,Dec-25," 528,630,000 "
BWB,"Bridgewater Bancshares, Inc.",27-Jan-26,After Hours,Dec-25," 517,490,000 "
PGC,Peapack-Gladstone Financial Corporation,27-Jan-26,,Dec-25," 514,880,000 "
