Ticker,Company,Date,Time,Quarter Ending,  Market Cap (bil$) 
2782,"Seria Co., Ltd.",29-Jan-26,,25-Dec,"1,766"
A012750,S-1 Corporation,29-Jan-26,,25-Dec,"1,765"
WIZZ,Wizz Air Holdings Plc,29-Jan-26,,25-Dec,"1,764"
BURSA,Bursa Malaysia Berhad,29-Jan-26,,25-Dec,"1,739"
MTX,Minerals Technologies Inc.,29-Jan-26,After Hours,25-Dec,"1,731"
HEM,Hemnet Group AB (publ),29-Jan-26,,25-Dec,"1,726"
MXL,"MaxLinear, Inc.",29-Jan-26,,25-Dec,"1,630"
SRCE,1st Source Corporation,29-Jan-26,,25-Dec,"1,612"
APTUS,Aptus Value Housing Finance India Limited,29-Jan-26,,25-Dec,"1,610"
533655,Triveni Turbine Limited,29-Jan-26,,25-Dec,"1,607"
EPR,Europris ASA,29-Jan-26,,25-Dec,"1,524"
7205,"Hino Motors, Ltd.",29-Jan-26,,25-Dec,"1,418"
4373,"Simplex Holdings, Inc.",29-Jan-26,,25-Dec,"1,390"
7947,FP Corporation,29-Jan-26,,25-Dec,"1,348"
IEX,Indian Energy Exchange Limited,29-Jan-26,,25-Dec,"1,328"
9505,Hokuriku Electric Power Company,29-Jan-26,,25-Dec,"1,283"
GODREJAGRO,Godrej Agrovet Limited,29-Jan-26,,25-Dec,"1,266"
ORC,"Orchid Island Capital, Inc.",29-Jan-26,After Hours,25-Dec,"1,196"
1950,"Nippon Densetsu Kogyo Co., Ltd.",29-Jan-26,,25-Dec,"1,177"
7148,"Financial Partners Group Co.,Ltd.",29-Jan-26,,25-Dec,"1,168"
532926,Jyothy Labs Limited,29-Jan-26,,25-Dec,"1,158"
5482,Aichi Steel Corporation,29-Jan-26,,25-Dec,"1,152"
MEDPLUS,MedPlus Health Services Limited,29-Jan-26,,25-Dec,"1,109"
PMT,PennyMac Mortgage Investment Trust,29-Jan-26,After Hours,25-Dec,"1,084"
BLUEJET,Blue Jet Healthcare Limited,29-Jan-26,,25-Dec,"1,078"
8388,"The Awa Bank, Ltd.",29-Jan-26,,25-Dec,"1,054"
FMBH,"First Mid Bancshares, Inc.",29-Jan-26,,25-Dec,"1,005"
CCN,Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérative,29-Jan-26,,25-Dec,"1,005"
SBSI,"Southside Bancshares, Inc.",29-Jan-26,Pre Market,25-Dec,969
AOS,A. O. Smith Corporation,29-Jan-26,,25-Dec,892
JBSS,"John B. Sanfilippo & Son, Inc.",29-Jan-26,After Hours,25-Dec,859
MOFG,"MidWestOne Financial Group, Inc.",29-Jan-26,,25-Dec,849
MTRS,Munters AB,29-Jan-26,,25-Dec,826
