Ticker,Company,Date,Time,Quarter Ending,Market Cap
UCG,UniCredit S.p.A.,09-Feb-26,,Dec-25,1.36156E+11
APO,"Apollo Global Management, Inc.",09-Feb-26,Pre Market,Dec-25,77213610000
9434,SoftBank Corp.,09-Feb-26,,Dec-25,65196520000
6098,"Recruit Holdings Co., Ltd.",09-Feb-26,,Dec-25,62479110000
BDX,"Becton, Dickinson and Company",09-Feb-26,Pre Market,Dec-25,59836400000
BPAC11,Banco BTG Pactual S.A.,09-Feb-26,,Dec-25,56319040000
DEWA,Dubai Electricity and Water Authority (PJSC),09-Feb-26,,Dec-25,42340580000
A012450,"Hanwha Aerospace Co., Ltd.",09-Feb-26,,Dec-25,41418550000
ACGL,Arch Capital Group Ltd.,09-Feb-26,After Hours,Dec-25,36452780000
8591,ORIX Corporation,09-Feb-26,Pre Market,Dec-25,34611120000
5803,Fujikura Ltd.,09-Feb-26,,Dec-25,30913090000
8802,"Mitsubishi Estate Co., Ltd.",09-Feb-26,,Dec-25,30521730000
CINF,Cincinnati Financial Corporation,09-Feb-26,After Hours,Dec-25,25303080000
BAMI,Banco BPM S.p.A.,09-Feb-26,,Dec-25,22230520000
L,Loews Corporation,09-Feb-26,,Dec-25,21180540000
ON,ON Semiconductor Corporation,09-Feb-26,After Hours,Dec-25,20150150000
PFG,"Principal Financial Group, Inc.",09-Feb-26,,Dec-25,18766010000
CRBG,"Corebridge Financial, Inc.",09-Feb-26,,Dec-25,17608310000
ACM,AECOM,09-Feb-26,After Hours,Dec-25,17073630000
GCARSO A1,"Grupo Carso, S.A.B. de C.V.",09-Feb-26,,Dec-25,15821760000
MB,Mediobanca Banca di Credito Finanziario S.p.A.,09-Feb-26,,Dec-25,15721180000
MEDP,"Medpace Holdings, Inc.",09-Feb-26,After Hours,Dec-25,14959260000
DT,"Dynatrace, Inc.",09-Feb-26,Pre Market,Dec-25,14945660000
PTTEP,PTT Exploration and Production Public Company Limited,09-Feb-26,,Dec-25,14000880000
CNA,CNA Financial Corporation,09-Feb-26,Pre Market,Dec-25,12556170000
BBSE3,BB Seguridade Participações S.A.,09-Feb-26,,Dec-25,12258720000
UDR,"UDR, Inc.",09-Feb-26,After Hours,Dec-25,12054410000
6823,HKT Trust and HKT Limited,09-Feb-26,,Dec-25,11484200000
DU,Emirates Integrated Telecommunications Company PJSC,09-Feb-26,,Dec-25,11367440000
