Ticker,Company,Date,Time,Quarter Ending, Market Cap 
GISS,Gulf International Services Q.P.S.C.,02-Feb-26,,Dec-25," 1,321,640,000 "
A097230,"HJ Shipbuilding & Construction Co., Ltd.",02-Feb-26,,Dec-25," 1,307,120,000 "
SHRIPISTON,Shriram Pistons & Rings Limited,02-Feb-26,,Dec-25," 1,298,170,000 "
8370,"The Kiyo Bank, Ltd.",02-Feb-26,,Dec-25," 1,286,060,000 "
CSWC,Capital Southwest Corporation,02-Feb-26,After Hours,Dec-25," 1,279,790,000 "
523025,Safari Industries (India) Limited,02-Feb-26,,Dec-25," 1,251,090,000 "
A098460,Koh Young Technology Inc.,02-Feb-26,,Dec-25," 1,191,810,000 "
7981,"Takara Standard Co.,Ltd.",02-Feb-26,,Dec-25," 1,145,620,000 "
8386,"The Hyakujushi Bank, Ltd.",02-Feb-26,,Dec-25," 1,134,570,000 "
ATX,ATEX Resources Inc.,02-Feb-26,,Dec-25," 1,097,220,000 "
HFCL,HFCL Limited,02-Feb-26,,Dec-25," 1,068,130,000 "
A089030,"Techwing, Inc.",02-Feb-26,,Dec-25," 1,047,440,000 "
ACAD,AcadeMedia AB (publ),02-Feb-26,,Dec-25," 1,034,780,000 "
TWO,Two Harbors Investment Corp.,02-Feb-26,,Dec-25," 1,034,270,000 "
8346,"The Toho Bank, Ltd.",02-Feb-26,,Dec-25," 975,050,000 "
7224,"ShinMaywa Industries, Ltd.",02-Feb-26,,Dec-25," 950,010,000 "
BESALCO,Besalco S.A.,02-Feb-26,,Dec-25," 912,980,000 "
2281,"Prima Meat Packers, Ltd.",02-Feb-26,,Dec-25," 909,000,000 "
APOLLO,Apollo Micro Systems Limited,02-Feb-26,,Dec-25," 860,100,000 "
PCJEWELLER,PC Jeweller Limited,02-Feb-26,,Dec-25," 855,000,000 "
TSKB,Türkiye Sinai Kalkinma Bankasi A.S.,02-Feb-26,,Dec-25," 853,710,000 "
