Ticker,Company,Date,Time,Quarter Ending,Market Cap
HSBA,HSBC Holdings plc,18-Feb-26,,Dec-25,2.90025E+11
BHP,BHP Group Limited,16-Feb-26,,Dec-25,1.83629E+11
ADI,"Analog Devices, Inc.",18-Feb-26,Pre Market,Jan-26,1.64717E+11
BKNG,Booking Holdings Inc.,18-Feb-26,After Hours,Dec-25,1.33467E+11
MDT,Medtronic plc,17-Feb-26,Pre Market,Jan-26,1.27548E+11
PANW,"Palo Alto Networks, Inc.",17-Feb-26,After Hours,Jan-26,1.16364E+11
CEG,Constellation Energy Corporation,17-Feb-26,,Dec-25,1.04514E+11
CDNS,"Cadence Design Systems, Inc.",17-Feb-26,After Hours,Dec-25,81513310000
BA.,BAE Systems plc,18-Feb-26,,Dec-25,79948550000
GLEN,Glencore plc,18-Feb-26,,Dec-25,79047570000
MCO,Moody's Corporation,18-Feb-26,Pre Market,Dec-25,76074860000
WES,Wesfarmers Limited,18-Feb-26,,Dec-25,70410170000
DASH,"DoorDash, Inc.",18-Feb-26,After Hours,Dec-25,69106300000
RSG,"Republic Services, Inc.",17-Feb-26,After Hours,Dec-25,69085310000
ET,Energy Transfer LP,17-Feb-26,,Dec-25,64376000000
7010,Saudi Telecom Company,17-Feb-26,,Dec-25,59583200000
ORA,Orange S.A.,18-Feb-26,,Dec-25,54140880000
ANTO,Antofagasta plc,17-Feb-26,,Dec-25,49961270000
CVNA,Carvana Co.,18-Feb-26,After Hours,Dec-25,48489770000
OXY,Occidental Petroleum Corporation,18-Feb-26,After Hours,Dec-25,45388640000
CCEP,Coca-Cola Europacific Partners PLC,17-Feb-26,,Dec-25,43206460000
VMC,Vulcan Materials Company,17-Feb-26,Pre Market,Dec-25,42773420000
GRMN,Garmin Ltd.,18-Feb-26,Pre Market,Dec-25,38915100000
K,Kinross Gold Corporation,18-Feb-26,After Hours,Dec-25,38728260000
TLS,Telstra Group Limited,18-Feb-26,,Dec-25,38180450000
11,Hang Seng Bank Limited,17-Feb-26,,Dec-25,37063520000
KVUE,Kenvue Inc.,17-Feb-26,After Hours,Dec-25,34736800000
NTR,Nutrien Ltd.,18-Feb-26,After Hours,Dec-25,32143140000
EQT,EQT Corporation,17-Feb-26,After Hours,Dec-25,31540540000
VRSK,"Verisk Analytics, Inc.",18-Feb-26,Pre Market,Dec-25,30719110000
AMRZ,Amrize AG,17-Feb-26,,Dec-25,30054170000
TCL,Transurban Group,18-Feb-26,,Dec-25,28898620000
5108,Bridgestone Corporation,16-Feb-26,,Dec-25,28685070000
NTGY,"Naturgy Energy Group, S.A.",18-Feb-26,,Dec-25,28647020000
DTE,DTE Energy Company,17-Feb-26,Pre Market,Dec-25,27999820000
FE,FirstEnergy Corp.,17-Feb-26,After Hours,Dec-25,27346690000
AWK,"American Water Works Company, Inc.",18-Feb-26,,Dec-25,26017780000
LDOS,"Leidos Holdings, Inc.",17-Feb-26,Pre Market,Dec-25,24893400000
EIX,Edison International,18-Feb-26,After Hours,Dec-25,24006860000
EXE,Expand Energy Corporation,17-Feb-26,After Hours,Dec-25,23788390000
TPL,Texas Pacific Land Corporation,18-Feb-26,After Hours,Dec-25,23265270000
DVN,Devon Energy Corporation,17-Feb-26,After Hours,Dec-25,22708260000
LH,Labcorp Holdings Inc.,17-Feb-26,Pre Market,Dec-25,22455120000
GPN,Global Payments Inc.,18-Feb-26,Pre Market,Dec-25,20664870000
GMAB,Genmab A/S,17-Feb-26,Pre Market,Dec-25,20328350000
PODD,Insulet Corporation,18-Feb-26,Pre Market,Dec-25,20238800000
RBA,"RB Global, Inc.",17-Feb-26,After Hours,Dec-25,20118970000
GULF,Gulf Development Public Company Limited,17-Feb-26,,Dec-25,19989110000
TEN,Tenaris S.A.,18-Feb-26,After Hours,Dec-25,18875310000
IHG,InterContinental Hotels Group PLC,17-Feb-26,,Dec-25,18685490000
7203,Elm Company,18-Feb-26,,Dec-25,18523610000
STMN,Straumann Holding AG,18-Feb-26,,Dec-25,17796090000
SGI,Somnigroup International Inc.,17-Feb-26,Pre Market,Dec-25,17680970000
INVH,Invitation Homes Inc.,18-Feb-26,After Hours,Dec-25,17556560000
GPC,Genuine Parts Company,17-Feb-26,Pre Market,Dec-25,17067470000
MONC,Moncler S.p.A.,18-Feb-26,,Dec-25,16267190000
PAAS,Pan American Silver Corp.,18-Feb-26,After Hours,Dec-25,16196380000
MB,Mediobanca Banca di Credito Finanziario S.p.A.,18-Feb-26,,Dec-25,15721180000
WSO,"Watsco, Inc.",17-Feb-26,Pre Market,Dec-25,15663460000
ALLE,Allegion plc,17-Feb-26,Pre Market,Dec-25,15219730000
ICLR,ICON Public Limited Company,18-Feb-26,,Dec-25,15079240000
RS,"Reliance, Inc.",18-Feb-26,After Hours,Dec-25,14942350000
WES,"Western Midstream Partners, LP",18-Feb-26,After Hours,Dec-25,14723190000
FIG,"Figma, Inc.",18-Feb-26,After Hours,Dec-25,14654650000
