Ticker,Company,Date,Time,Quarter Ending, Market Cap 
KFH,Kuwait Finance House K.S.C.P.,26-Jan-26,,25-Dec,"46,335,940,000"
532215,Axis Bank Limited,26-Jan-26,,25-Dec,"44,303,220,000"
NUE,Nucor Corporation,26-Jan-26,After Hours,25-Dec,"39,910,660,000"
6954,Fanuc Corporation,26-Jan-26,,25-Dec,"39,220,120,000"
RYA,Ryanair Holdings plc,26-Jan-26,Pre Market,25-Dec,"35,084,800,000"
EPI A,Epiroc AB (publ),26-Jan-26,,25-Dec,"28,793,840,000"
BRO,"Brown & Brown, Inc.",26-Jan-26,After Hours,25-Dec,"27,317,080,000"
WRB,W. R. Berkley Corporation,26-Jan-26,,25-Dec,"25,795,840,000"
STLD,"Steel Dynamics, Inc.",26-Jan-26,Pre Market,25-Dec,"25,348,730,000"
6988,Nitto Denko Corporation,26-Jan-26,,25-Dec,"17,229,350,000"
SRT3,Sartorius Aktiengesellschaft,26-Jan-26,,25-Dec,"16,651,880,000"
4684,"OBIC Co.,Ltd.",26-Jan-26,,25-Dec,"14,831,540,000"
ARE,"Alexandria Real Estate Equities, Inc.",26-Jan-26,After Hours,25-Dec,"14,493,960,000"
GGG,Graco Inc.,26-Jan-26,After Hours,25-Dec,"14,044,240,000"
STR,Strabag SE,26-Jan-26,,25-Dec,"10,642,690,000"
AGNC,AGNC Investment Corp.,26-Jan-26,After Hours,25-Dec,"10,479,830,000"
CR,Crane Company,26-Jan-26,After Hours,25-Dec,"10,354,400,000"
WAL,Western Alliance Bancorporation,26-Jan-26,After Hours,25-Dec,"9,453,040,000"
SANM,Sanmina Corporation,26-Jan-26,After Hours,25-Dec,"9,047,700,000"
SAVE,Nordnet AB (publ),26-Jan-26,,25-Dec,"7,445,120,000"
GETI B,Getinge AB (publ),26-Jan-26,,25-Dec,"6,468,100,000"
MOTILALOFS,Motilal Oswal Financial Services Limited,26-Jan-26,,25-Dec,"5,714,150,000"
M44U,Mapletree Logistics Trust,26-Jan-26,,25-Dec,"5,127,830,000"
1030,The Saudi Investment Bank,26-Jan-26,,25-Dec,"4,759,370,000"
A011070,"LG Innotek Co., Ltd.",26-Jan-26,,25-Dec,"4,651,970,000"
3635,"Koei Tecmo Holdings Co., Ltd.",26-Jan-26,,25-Dec,"4,470,100,000"
QIIK,Qatar International Islamic Bank (Q.P.S.C),26-Jan-26,,25-Dec,"4,465,600,000"
4733,"OBIC Business Consultants Co., Ltd.",26-Jan-26,,25-Dec,"4,407,820,000"
APARINDS,APAR Industries Limited,26-Jan-26,,25-Dec,"3,938,900,000"
FINN,"First National of Nebraska, Inc.",26-Jan-26,,25-Dec,"3,880,010,000"
520056,TVS Holdings Limited,26-Jan-26,,25-Dec,"3,310,480,000"
PCH,PotlatchDeltic Corporation,26-Jan-26,,25-Dec,"3,159,660,000"
WSFS,WSFS Financial Corporation,26-Jan-26,After Hours,25-Dec,"3,113,800,000"
HPOL B,HEXPOL AB (publ),26-Jan-26,,25-Dec,"3,058,350,000"
AGYS,"Agilysys, Inc.",26-Jan-26,After Hours,25-Dec,"2,923,030,000"
TURSG,Türkiye Sigorta A.S.,26-Jan-26,,25-Dec,"2,921,930,000"
500302,Piramal Enterprises Limited,26-Jan-26,,25-Dec,"2,871,720,000"
R A,Regional S.A.B. de C.V.,26-Jan-26,,25-Dec,"2,819,540,000"
BOH,Bank of Hawaii Corporation,26-Jan-26,Pre Market,25-Dec,"2,751,140,000"
PRK,Park National Corporation,26-Jan-26,,25-Dec,"2,640,690,000"
SUMICHEM,Sumitomo Chemical India Limited,26-Jan-26,,25-Dec,"2,537,120,000"
HMS,HMS Networks AB (publ),26-Jan-26,,25-Dec,"2,378,660,000"
NBTB,NBT Bancorp Inc.,26-Jan-26,After Hours,25-Dec,"2,159,570,000"
DX,"Dynex Capital, Inc.",26-Jan-26,,25-Dec,"2,146,530,000"
FRME,First Merchants Corporation,26-Jan-26,After Hours,25-Dec,"2,130,850,000"
EFSC,Enterprise Financial Services Corp,26-Jan-26,,25-Dec,"2,001,180,000"
6755,Fujitsu General Limited,26-Jan-26,,25-Dec,"1,994,190,000"
523405,JM Financial Limited,26-Jan-26,,25-Dec,"1,814,330,000"
532953,V-Guard Industries Limited,26-Jan-26,,25-Dec,"1,804,070,000"
500620,The Great Eastern Shipping Company Limited,26-Jan-26,,25-Dec,"1,767,020,000"
NWBI,"Northwest Bancshares, Inc.",26-Jan-26,After Hours,25-Dec,"1,719,560,000"
GABC,"German American Bancorp, Inc.",26-Jan-26,,25-Dec,"1,509,040,000"
LTFOODS,LT Foods Limited,26-Jan-26,,25-Dec,"1,468,770,000"
LKFN,Lakeland Financial Corporation,26-Jan-26,Pre Market,25-Dec,"1,467,900,000"
A006280,GC Biopharma Corp.,26-Jan-26,,25-Dec,"1,257,660,000"
JUBLINGREA,Jubilant Ingrevia Limited,26-Jan-26,,25-Dec,"1,223,330,000"
6960,"Fukuda Denshi Co., Ltd.",26-Jan-26,,25-Dec,"1,219,670,000"
RITES,RITES Limited,26-Jan-26,,25-Dec,"1,214,830,000"
RLH A,"RLH Properties, S.A.B. de C.V.",26-Jan-26,,25-Dec,"1,150,020,000"
ATX,ATEX Resources Inc.,26-Jan-26,,25-Dec,"1,097,220,000"
9708,"Imperial Hotel, Ltd.",26-Jan-26,,25-Dec,"1,062,390,000"
FSUN,FirstSun Capital Bancorp,26-Jan-26,,25-Dec,"1,053,580,000"
MRTN,"Marten Transport, Ltd.",26-Jan-26,,25-Dec,"1,032,050,000"
7970,"Shin-Etsu Polymer Co.,Ltd.",26-Jan-26,,25-Dec,"1,015,770,000"
MAC,MAC Copper Limited,26-Jan-26,,25-Dec,"991,320,000"
NBN,Northeast Bank,26-Jan-26,After Hours,25-Dec,"977,290,000"
517506,TTK Prestige Limited,26-Jan-26,,25-Dec,"974,660,000"
R4,"Renta 4 Banco, S.A.",26-Jan-26,,25-Dec,"875,540,000"
HBT,"HBT Financial, Inc.",26-Jan-26,Pre Market,25-Dec,"866,580,000"
500101,Arvind Limited,26-Jan-26,,25-Dec,"851,620,000"
FSBC,Five Star Bancorp,26-Jan-26,After Hours,25-Dec,"816,880,000"
XVIVO,Xvivo Perfusion AB (publ),26-Jan-26,,25-Dec,"792,010,000"
FMCB,Farmers & Merchants Bancorp,26-Jan-26,,25-Dec,"778,080,000"
CSBBANK,CSB Bank Limited,26-Jan-26,,25-Dec,"752,900,000"
500265,Maharashtra Seamless Limited,26-Jan-26,,25-Dec,"743,500,000"
AURIONPRO,Aurionpro Solutions Limited,26-Jan-26,,25-Dec,"658,960,000"
FML,Focus Minerals Limited,26-Jan-26,,25-Dec,"609,420,000"
LBIRD,Lumibird SA,26-Jan-26,,25-Dec,"596,160,000"
NOTE,NOTE AB (publ),26-Jan-26,,25-Dec,"541,570,000"
STM,Stabilus SE,26-Jan-26,,25-Dec,"538,270,000"
507880,V.I.P. Industries Limited,26-Jan-26,,25-Dec,"537,730,000"
QNCD,Qatar National Cement Company (Q.P.S.C.),26-Jan-26,,25-Dec,"515,170,000"
